Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Nevada-Las Vegas,Big West,34,1,97.7,71,26.74,4.34,24.08,7.04,31.12,1991
2,Arkansas,SWC,34,4,99.6,80.4,19.18,8.63,27.38,-0.1,27.28,1991
3,North Carolina,ACC,29,6,87.6,71.6,16,10.9,17.61,9.29,26.9,1991
4,Duke,ACC,32,7,87.7,73.4,14.28,10.63,15.42,9.5,24.92,1991
5,Kansas,Big 8,27,8,84.2,69.6,14.6,11.37,10.81,13.97,24.78,1991
6,Arizona,Pac-10,28,7,86.3,71.7,14.6,9.66,13.39,10.87,24.26,1991
7,Indiana,Big Ten,29,5,84.8,69.2,15.59,7.68,14.17,9.04,23.21,1991
8,Oklahoma State,Big 8,24,8,79.7,66.2,13.47,7.71,5.98,15.19,21.17,1991
9,Ohio State,Big Ten,27,4,84.6,68.5,16.16,4.99,10.54,10.61,21.15,1991
10,UCLA,Pac-10,23,9,92.3,81.4,10.94,9.11,20.7,-0.72,19.98,1991
11,Georgia,SEC,17,13,81.7,71.4,10.33,8.42,9.58,8.99,18.56,1991
12,Seton Hall,Big East,25,9,78.4,69.1,9.35,10.05,7.3,11.26,18.56,1991
13,Nebraska,Big 8,26,8,87.6,78.6,8.97,9.49,16.19,2.27,18.46,1991
14,Kentucky,SEC,22,6,85.9,78.1,7.82,10.04,14.66,3.2,17.86,1991
15,Louisiana State,SEC,20,10,90.4,80.8,9.67,8.99,17.12,0.73,17.85,1991
16,Syracuse,Big East,26,6,83.8,74.4,9.41,8.3,11.98,5.45,17.43,1991
17,Oklahoma,Big 8,20,15,96.1,88.3,7.83,12,21.92,-4.72,17.21,1991
18,Connecticut,Big East,20,11,73.3,65.3,8,8.84,2.33,14.24,16.57,1991
19,Missouri,Big 8,20,10,81.3,73,8.37,9.53,5.58,10.77,16.35,1991
20,Georgia Tech,ACC,17,13,82.5,77,5.47,10.83,10.23,6.06,16.3,1991
21,Georgetown,Big East,19,13,66.3,61.4,4.97,14.32,-4.88,20.96,16.07,1991
22,Pittsburgh,Big East,21,12,83.6,76.9,6.7,10.71,12.98,2.99,15.97,1991
23,NC State,ACC,20,11,89.3,83.5,5.87,9.34,16.47,-1.25,15.22,1991
24,Virginia,ACC,21,12,74.3,68.5,5.79,9.32,2.1,13.01,15.11,1991
25,Texas,SWC,23,9,86.8,79.8,7.06,7.78,14.67,0.15,14.82,1991
26,Stanford,Pac-10,20,13,76.9,71.8,5.15,9.33,4.92,9.56,14.48,1991
27,Alabama,SEC,23,10,78.2,72.6,5.61,8.7,4.81,9.49,14.3,1991
28,Arizona State,Pac-10,20,10,79.3,73.9,5.33,8.92,6.39,7.86,14.26,1991
29,St. John's (NY),Big East,23,9,72.8,68.1,4.72,9.49,2.07,12.14,14.21,1991
30,Wake Forest,ACC,19,11,80.5,74.9,5.57,8.19,8.62,5.14,13.76,1991
31,Southern California,Pac-10,19,10,81.3,74.1,7.28,5.9,8.07,5.1,13.17,1991
32,DePaul,Ind,20,9,79.3,70.5,8.86,4.04,6.74,6.15,12.9,1991
33,Colorado,Big 8,19,14,82.3,79.5,2.88,10,9.51,3.36,12.88,1991
34,Mississippi State,SEC,20,9,80.8,74.9,5.83,7.04,7.48,5.39,12.87,1991
35,Temple,A-10,24,10,70,64,5.94,6.37,-2.55,15.16,12.61,1991
36,Vanderbilt,SEC,17,13,73.3,70.5,2.8,9.76,1.42,11.14,12.56,1991
37,Villanova,Big East,17,15,72.9,72.8,0.16,12.29,3.45,9,12.44,1991
38,Providence,Big East,19,13,83.8,78.4,5.34,6.99,12.8,-0.47,12.33,1991
39,Kansas State,Big 8,13,15,76.6,72.8,3.82,10.32,3.25,9.04,12.29,1991
40,New Mexico State,Big West,23,6,81,69.6,11.45,1.81,3.53,8.53,12.06,1991
41,Purdue,Big Ten,17,12,69.3,66.3,3,8.87,-1.49,13.36,11.87,1991
42,Michigan State,Big Ten,19,11,71.3,68.9,2.43,9.33,1.19,10.58,11.76,1991
43,Utah,WAC,30,4,73.8,64.2,9.56,3.8,-0.06,11.83,11.76,1991
44,East Tennessee State,Southern,28,5,94,76.8,17.27,-2.47,14.39,-2.73,11.66,1991
45,Houston,SWC,18,11,80.8,74.2,6.55,4.83,7.34,4.05,11.38,1991
46,Creighton,MVC,24,8,76.9,70,6.97,3.79,3.84,6.92,10.76,1991
