Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,North Carolina,ACC,28,6,86.6,69,17.62,8.51,21.23,4.9,26.13,1986
2,Kansas,Big 8,35,4,80.5,67.5,12.92,10.42,14.98,8.21,23.18,1986
3,Duke,ACC,37,3,79.9,67.2,12.63,9.5,16.07,6.03,22.1,1986
4,Michigan,Big Ten,28,5,77.9,64.8,13.12,9.56,10.85,11.03,21.88,1986
5,Kentucky,SEC,32,4,74.1,61.2,12.83,9.63,8.77,13.03,21.8,1986
6,Georgia Tech,ACC,27,7,75.1,63.6,11.5,11.71,10.78,10.99,21.77,1986
7,Syracuse,Big East,26,6,83.6,68.3,15.31,6.65,16.33,5.42,21.74,1986
8,Louisville,Metro,32,7,79.4,69.1,10.31,10.42,13.03,7.62,20.65,1986
9,Illinois,Big Ten,22,10,72.8,61.2,11.66,9.44,6.42,13.93,20.35,1986
10,Michigan State,Big Ten,23,8,83.1,71.3,11.81,7.98,17.53,2.26,19.79,1986
11,Memphis,Metro,28,6,82.4,67.4,15,5.48,14.27,5.36,19.63,1986
12,Indiana,Big Ten,21,8,76.3,67.9,8.45,11.41,12.32,6.36,18.68,1986
13,Oklahoma,Big 8,26,9,87.9,75.4,12.49,8.49,20.9,-3,17.9,1986
14,Notre Dame,Ind,23,6,78.9,64.8,14.07,4.16,10.17,7.49,17.66,1986
15,Georgetown,Big East,24,8,78.5,65,13.53,6.77,9.82,7.67,17.49,1986
16,St. John's (NY),Big East,31,5,77.1,66.2,10.92,6.26,9.38,7.83,17.21,1986
17,NC State,ACC,21,13,70.6,63.2,7.38,10.39,4.78,12.15,16.92,1986
18,Alabama,SEC,24,9,75.5,67.7,7.82,9.09,10.66,6.06,16.73,1986
19,Iowa,Big Ten,20,12,73.6,65.7,7.91,9.28,7.51,8.41,15.93,1986
20,Purdue,Big Ten,22,10,77,70.1,6.94,9.51,11.19,4.58,15.77,1986
21,Louisiana State,SEC,26,12,75.7,70.5,5.21,10.71,10.56,4.57,15.13,1986
22,Maryland,ACC,19,14,70.4,65.6,4.73,11.04,5.05,10.02,15.08,1986
23,Auburn,SEC,22,11,72.1,66.5,5.61,9.65,7.8,7.08,14.88,1986
24,Virginia,ACC,19,11,70.4,64.9,5.43,9.41,5.47,9.37,14.84,1986
25,Nevada-Las Vegas,PCAA,33,5,76,66.8,9.16,4.34,11.98,2.81,14.79,1986
26,Iowa State,Big 8,22,11,76.1,69.1,7,10.69,9.66,4.8,14.46,1986
27,Cleveland State,Mid-Cont,29,4,88.9,69.6,19.27,-2.48,16.5,-2.78,13.72,1986
28,Georgia,SEC,17,13,77.9,72.2,5.7,7.95,12.65,1.06,13.71,1986
29,UAB,Sun Belt,25,11,68.4,60.3,8.19,6.46,2.91,10.63,13.55,1986
30,Navy,CAA,30,5,77.2,63.3,13.83,1.28,8.75,4.74,13.49,1986
31,Clemson,ACC,19,15,74.9,67.5,7.41,5.45,7.35,5.51,12.86,1986
32,Ohio State,Big Ten,19,14,75.2,72.3,2.91,9.69,10.28,2.33,12.6,1986
33,Missouri,Big 8,21,14,73,69.2,3.8,8.55,6.77,5.81,12.58,1986
34,Nebraska,Big 8,19,11,70.8,66.7,4.17,8.93,2.38,9.19,11.57,1986
35,Virginia Tech,Metro,22,9,78.7,73.1,5.58,5.66,11.96,-0.67,11.3,1986
