"","Year","Round","Seed1","Score1","Team1","Team2","Score2","Seed2"
"112",2003,1,7,63,"St Josephs","Auburn",65,10
"113",2004,1,5,58,"Providence","Pacific",66,12
"114",2004,1,7,66,"Michigan St","Nevada",72,10
"115",2004,1,5,60,"Florida","Manhattan",75,12
"116",2005,1,5,73,"Alabama","Wisconsin Milwaukee",83,12
"117",2005,1,6,68,"LSU","UAB",82,11
"118",2005,1,3,63,"Kansas","Bucknell",64,14
"119",2005,1,7,63,"Charlotte","NC State",75,10
"120",2005,1,4,57,"Syracuse","Vermont",60,13
"121",2006,1,3,63,"Iowa","Northwestern St",64,14
"122",2006,1,5,58,"Syracuse","Texas A&M",66,12
"123",2006,1,7,52,"California","NC State",58,10
"124",2006,1,4,73,"Kansas","Bradley",77,13
"125",2006,1,7,85,"Marquette","Alabama",90,10
"126",2006,1,6,65,"Michigan St","George Mason",75,11
"127",2006,1,5,79,"Nevada","Montana",87,12
"128",2006,1,6,74,"Oklahoma","Wisconsin Milwaukee",82,11
"129",2007,1,6,64,"Notre Dame","Winthrop",74,11
"130",2007,1,6,77,"Duke","VCU",79,11
"131",2008,1,4,62,"Vanderbilt","Siena",83,13
"132",2008,1,5,69,"Clemson","Villanova",75,12
"133",2008,1,6,67,"USC","Kansas St",80,11
"134",2008,1,7,76,"Gonzaga","Davidson",82,10
"135",2008,1,4,69,"Connecticut","San Diego",70,13
"136",2008,1,5,99,"Drake","Western Kentucky",101,12
"137",2009,1,4,69,"Wake Forest","Cleveland St",84,13
"138",2009,1,5,71,"Utah","Arizona",84,12
"139",2009,1,6,60,"West Virginia","Dayton",68,11
"140",2009,1,7,55,"Boston College","USC",72,10
"141",2009,1,7,71,"California","Maryland",84,10
"142",2009,1,5,59,"Florida St","Wisconsin",61,12
"143",2009,1,5,72,"Illinois","Western Kentucky",76,12
"144",2009,1,7,59,"Clemson","Michigan",62,10
"145",2010,1,3,83,"Georgetown","Ohio",97,14
"146",2010,1,7,59,"Oklahoma St","Georgia Tech",64,10
"147",2010,1,4,65,"Vanderbilt","Murray St",66,13
"148",2010,1,5,65,"Temple","Cornell",78,12
"149",2010,1,6,78,"Marquette","Washington",80,11
"150",2010,1,7,78,"Clemson","Missouri",86,10
"151",2010,1,6,50,"Notre Dame","Old Dominion",51,11
"152",2010,1,7,71,"Richmond","St Marys",80,10
"153",2011,1,6,55,"Xavier","Marquette",66,11
"154",2011,1,4,61,"Louisville","Morehead St",62,13
