Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Indiana,Big Ten,27,7,83.4,65.8,17.62,12.43,16.21,13.84,30.05,1992
2,Kansas,Big 8,27,5,84.5,68.1,16.41,9.82,15.65,9.6,25.25,1992
3,Duke,ACC,34,2,88,72.6,15.33,10.21,18.16,6.54,24.71,1992
4,Ohio State,Big Ten,26,6,80.6,66.8,13.81,10.62,12.73,11.65,24.37,1992
5,Arizona,Pac-10,24,7,84.8,68.8,15.97,8.19,15.6,8.56,24.16,1992
6,Cincinnati,GMWC,29,5,79,63.1,15.85,5.94,8.73,12.94,21.67,1992
7,Oklahoma State,Big 8,28,8,75.7,63.1,12.61,10.78,5.96,15.57,21.53,1992
8,Kentucky,SEC (East),29,7,85.7,74.4,11.28,9.6,16.15,4.7,20.85,1992
9,Louisiana State,SEC (West),21,10,87.5,75.9,11.58,8.64,15.65,4.57,20.22,1992
10,UCLA,Pac-10,28,5,84.4,73.1,11.33,9.82,14.57,5.34,19.91,1992
11,Arkansas,SEC (West),26,8,89.8,76.9,12.94,8.2,17.04,2.16,19.2,1992
12,Oklahoma,Big 8,21,9,94.6,82,12.63,8.62,21.28,-2.26,19.02,1992
13,Michigan,Big Ten,25,9,77.9,71.4,6.5,12.29,10.61,8.18,18.79,1992
14,Iowa,Big Ten,19,11,81.1,72,9.07,8.99,12.35,5.85,18.19,1992
15,Nevada-Las Vegas,Big West,26,2,80,65,14.96,3.71,6.7,11.49,18.19,1992
16,North Carolina,ACC,23,10,83.5,75.6,7.94,10.16,14.23,3.81,18.04,1992
17,Missouri,Big 8,21,9,79.4,69.8,9.57,9.69,8.74,9.26,18,1992
18,Michigan State,Big Ten,22,8,74,69,4.97,12.76,6.63,11.09,17.72,1992
19,Georgia Tech,ACC,23,12,80.4,74.5,5.86,10.64,11.61,4.89,16.49,1992
20,Massachusetts,A-10,30,5,82.4,69.6,12.8,4.72,9.57,6.83,16.4,1992
21,Stanford,Pac-10,18,11,75.7,68,7.72,8.19,6.84,9.07,15.92,1992
22,St. John's (NY),Big East,19,11,71.4,65.1,6.27,9.35,3.42,12.2,15.62,1992
23,Connecticut,Big East,20,10,79,71.1,7.93,7.1,10.43,4.61,15.03,1992
24,Brigham Young,WAC,25,7,80.2,69.6,10.63,3.95,10.7,3.88,14.58,1992
25,Virginia,ACC,20,13,70,65.2,4.76,9.72,0.82,13.68,14.5,1992
26,Seton Hall,Big East,23,9,74.8,68.8,6.03,8.33,5.4,8.8,14.2,1992
27,Florida State,ACC,22,10,80.2,75,5.16,8.74,9.47,4.55,14.02,1992
28,UTEP,WAC,27,7,72.9,62.9,10.03,5.56,1.3,12.7,14,1992
29,Iowa State,Big 8,21,13,81.5,73.3,8.24,8.77,9.94,3.73,13.67,1992
30,Alabama,SEC (West),26,9,78.2,72,6.17,7.3,6.7,6.83,13.53,1992
31,Wake Forest,ACC,17,12,74.6,68.4,6.14,7.31,4.3,9.11,13.41,1992
32,Washington State,Pac-10,22,11,81.5,72.1,9.39,5.2,8.67,4.66,13.33,1992
33,Minnesota,Big Ten,16,16,71.6,69.1,2.5,10.68,3.81,9.38,13.18,1992
34,Southern California,Pac-10,24,6,79.4,73.3,6.07,7.38,8.87,4.07,12.93,1992
35,Louisville,Metro,19,11,77.5,72.9,4.6,8.21,6.95,5.86,12.81,1992
36,Memphis,GMWC,23,11,74.3,71.2,3.09,9.59,4.89,7.79,12.68,1992
37,Evansville,MW Coll,24,6,78.5,67.7,10.83,1.35,5.39,7.25,12.65,1992
38,Nebraska,Big 8,19,10,80.5,76.4,4.1,8.5,11.21,1.39,12.6,1992
39,Illinois,Big Ten,13,15,70.9,69.8,1.07,11.41,3.78,8.7,12.48,1992
40,Houston,SWC,25,6,77.7,68.8,8.94,4.35,4.45,7.7,12.14,1992
41,Purdue,Big Ten,18,15,68.7,66.6,2.03,10.62,1.41,10.73,12.14,1992
42,Georgetown,Big East,22,10,73.2,63.8,9.47,6.15,0.26,11.64,11.9,1992
43,Tulane,Metro,22,9,82.1,73.2,8.94,2.3,10.41,1.39,11.8,1992
44,DePaul,GMWC,20,9,81.1,76.2,4.97,6.7,11.01,0.7,11.7,1992
45,Pittsburgh,Big East,18,16,76.2,72.7,3.47,8.02,7.53,3.96,11.49,1992
46,Georgia,SEC (East),15,14,76,72.7,3.28,8.64,4.08,7.35,11.43,1992
47,Texas,SWC,23,12,90.7,85.2,5.49,6.28,20.44,-9.1,11.34,1992
48,Syracuse,Big East,22,10,74.5,70.6,3.88,7.26,6.95,4.18,11.13,1992
49,UAB,GMWC,20,9,78.8,69.2,9.62,1.69,4.54,6.58,11.12,1992
50,Boston College,Big East,17,14,75.5,70.6,4.94,5.55,6.13,4.35,10.48,1992
51,New Mexico,WAC,20,13,73.6,68.7,4.91,4.94,3.98,6.18,10.16,1992
52,Temple,A-10,17,13,70.5,68.7,1.73,8.42,0.02,10.14,10.15,1992
53,West Virginia,A-10,20,12,79.8,74.7,5.06,4.94,8.05,1.95,10,1992
54,Maryland,ACC,14,15,81,78.9,2.1,7.75,9.85,0.01,9.86,1992
55,New Mexico State,Big West,25,8,78,71.3,6.64,4.28,5.74,4.07,9.81,1992
56,Marquette,GMWC,16,13,69.2,61.3,7.93,1.76,-5.22,14.84,9.63,1992
57,Rhode Island,A-10,22,10,78.1,71.1,6.97,2.58,5.66,3.88,9.55,1992
58,Villanova,Big East,14,15,68.2,69,-0.72,10.24,0.55,8.97,9.52,1992
59,Louisiana Tech,Sun Belt,22,9,80.4,70.3,10.13,-0.25,4.69,4.5,9.18,1992
60,Charlotte,Metro,23,9,76.6,70.5,6.13,3.8,3.49,5.67,9.16,1992
61,TCU,SWC,23,11,72.4,66.3,6.06,3.1,-0.87,10.03,9.16,1992
62,Green Bay,Mid-Cont,25,5,68.8,55.3,13.47,-3.73,-6.91,15.97,9.06,1992
63,Notre Dame,Ind,18,15,69.8,71.5,-1.79,11,1.77,7.26,9.03,1992
64,Pepperdine,WCC,24,7,75.8,67.4,8.45,0.85,1.38,7.64,9.03,1992
