Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
154,Butler,MW Coll,11,17,68.8,71.5,-2.75,1.37,-6.26,4.84,-1.42,1989
155,Louisiana,ASC,17,12,84.5,80.6,3.93,-2.03,8.11,-9.68,-1.57,1989
156,Illinois State,MVC,13,17,64.7,68.4,-3.67,1.98,-8.83,7.14,-1.69,1989
157,Chattanooga,Southern,18,12,77,76.8,0.27,-1.51,-1.44,-0.27,-1.71,1989
158,UC Irvine,Big West,12,17,81.6,86.3,-4.79,3.03,8.52,-10.29,-1.77,1989
159,The Citadel,Southern,16,12,77.7,73,4.64,-2.32,-1.19,-0.59,-1.78,1989
160,Rhode Island,A-10,13,15,76.7,76.8,-0.07,-1.21,-1.06,-0.78,-1.84,1989
161,Ohio,MAC,12,17,75.9,77.6,-1.69,0.1,2.25,-4.4,-2.15,1989
162,Princeton,Ivy,19,8,58.3,53,5.33,-7.13,-20.25,18.08,-2.17,1989
163,Marshall,Southern,15,15,84.3,84.7,-0.4,-0.48,6.05,-8.25,-2.21,1989
164,Lamar,ASC,12,16,78.1,78.3,-0.14,0.6,2.46,-4.86,-2.4,1989
165,McNeese State,Southland,16,14,73.8,72.9,0.83,-3.23,-5.72,3.32,-2.4,1989
166,Fordham,MAAC,14,15,67.8,67.2,0.59,-1.36,-7.09,4.63,-2.46,1989
167,Duquesne,A-10,13,16,81.1,81.4,-0.28,-1.1,4.51,-7.25,-2.74,1989
168,George Mason,CAA,20,11,78.2,74.1,4.06,-5.65,-0.2,-2.72,-2.92,1989
169,James Madison,CAA,16,14,73.6,69.8,3.77,-5.62,-4.43,1.44,-2.99,1989
170,UTSA,TAAC,15,13,80.4,73.7,6.64,-4.38,0.59,-3.59,-3,1989
171,Texas-Rio Grande Valley,ASC,15,13,68.9,66.9,2.04,-3.62,-7.3,4.09,-3.2,1989
172,South Florida,Sun Belt,7,21,75.2,80.8,-5.57,3.2,-1.8,-1.41,-3.21,1989
173,Rice,SWC,12,16,72,75.8,-3.71,0.87,-4.87,1.62,-3.25,1989
174,Bucknell,ECC,23,8,81,75.5,5.52,-7.34,2.05,-5.42,-3.37,1989
175,Central Michigan,MAC,12,16,68.3,71.4,-3.04,0.27,-5.4,2,-3.4,1989
176,Bowling Green State,MAC,12,16,66.4,69.7,-3.36,1,-8.52,4.87,-3.65,1989
177,Iona,MAAC,15,16,70.5,71.4,-0.87,-1.51,-4.33,0.55,-3.78,1989
178,Northeastern,NAC,17,11,79.6,76.7,2.93,-6.87,2.34,-6.25,-3.91,1989
179,UNC Wilmington,CAA,16,14,69.7,67.5,2.23,-5.19,-6.92,3,-3.92,1989
180,American,CAA,17,11,79,75.4,3.57,-5.18,2.1,-6.21,-4.1,1989
181,Western Michigan,MAC,12,16,71.5,76.1,-4.57,2.6,-2.64,-1.72,-4.36,1989
182,South Carolina State,MEAC,25,8,82.1,76.2,5.82,-9.96,1.17,-5.72,-4.55,1989
183,Pacific,Big West,7,21,73.4,77.9,-4.46,1.93,-2.48,-2.13,-4.61,1989
184,Furman,Southern,17,12,74.9,76.4,-1.52,-2.1,-3.61,-1.16,-4.78,1989
185,Holy Cross,MAAC,13,15,82.2,83.1,-0.96,-3.21,5.28,-10.27,-4.99,1989
186,Montana State,Big Sky,14,15,77,78,-1.03,-1.2,0.16,-5.24,-5.08,1989
187,San Diego,WCAC,8,20,67.8,72.3,-4.57,1.46,-10.33,5.09,-5.24,1989
188,Sam Houston State,Southland,12,16,77.2,78.7,-1.46,-4.34,-1.39,-4.38,-5.77,1989
189,Texas Southern,SWAC,17,13,84.7,81.4,3.33,-5.68,1.89,-7.78,-5.9,1989
190,VMI,Southern,11,17,76.4,76.1,0.21,-1.71,-2.74,-3.18,-5.92,1989
191,Dartmouth,Ivy,17,9,75.8,73.1,2.69,-8.66,-1.44,-4.54,-5.97,1989
192,Lafayette,ECC,20,10,67.1,65.9,1.27,-6.86,-12.07,5.97,-6.1,1989
193,Northwestern State,Southland,13,16,88,87.6,0.38,-6.51,9.05,-15.18,-6.13,1989
194,North Texas,Southland,14,15,78.7,81.5,-2.79,-3.36,1.42,-7.58,-6.15,1989
195,Hartford,NAC,15,13,66.4,66.8,-0.43,-5.8,-10.84,4.61,-6.23,1989
196,Grambling,SWAC,15,14,77.3,79,-1.76,-4.88,-1.72,-5.05,-6.77,1989
197,Eastern Washington,Big Sky,8,22,71.9,77.4,-5.53,0.5,-2.71,-4.13,-6.84,1989
198,Valparaiso,Mid-Cont,10,19,71.2,77.5,-6.31,1.03,-3.49,-3.41,-6.9,1989
199,Georgia State,TAAC,14,14,85,85,0,-3.05,6.01,-13.27,-7.26,1989
200,Western Carolina,Southern,12,16,71.4,72.3,-0.89,-4.35,-8.82,1.56,-7.27,1989
201,San Jose State,Big West,5,23,65.3,74.8,-9.57,3.56,-7.33,-0.04,-7.37,1989
202,Indiana State,MVC,4,24,71.8,81.4,-9.57,2.58,-0.36,-7.06,-7.42,1989
203,Coppin State,MEAC,18,11,75.9,72.4,3.52,-11.08,-5.21,-2.29,-7.5,1989
204,Detroit Mercy,MW Coll,7,21,70.6,78.3,-7.71,0.21,-4.76,-2.74,-7.51,1989
205,Texas State,Southland,13,17,74.8,75,-0.13,-6.19,-4.62,-2.91,-7.53,1989
206,Army,MAAC,12,16,73.3,73.7,-0.39,-6.68,-3.55,-4.02,-7.57,1989
207,Centenary (LA),TAAC,16,14,81.7,83.3,-1.67,-4.44,3.78,-11.36,-7.58,1989
208,East Carolina,CAA,15,14,69.4,70.9,-1.48,-4.32,-7.14,-0.44,-7.58,1989
209,Louisiana-Monroe,Southland,17,12,73.9,74,-0.14,-7.71,-4.4,-3.45,-7.85,1989
210,Wright State,Ind,17,11,82.6,79.1,3.54,-9.33,1.7,-9.58,-7.87,1989
211,Delaware,ECC,14,14,72,69.3,2.71,-8,-5.25,-2.93,-8.17,1989
212,Canisius,NAC,13,15,69.5,70.2,-0.71,-6.7,-8.68,0.09,-8.59,1989
213,Saint Joseph's,A-10,8,21,67.7,75.3,-7.62,-0.97,-7.73,-0.93,-8.66,1989
214,Robert Morris,NEC,21,9,77.1,74.2,2.9,-11.34,-5.36,-3.41,-8.77,1989
215,Drexel,ECC,12,16,77.8,79.4,-1.57,-7.34,0.26,-9.16,-8.91,1989
216,Mercer,TAAC,14,14,73.9,71.1,2.75,-5.07,-6.22,-2.77,-8.99,1989
217,Mount St. Mary's,Ind,12,15,80.4,77.6,2.81,-9.35,-1.79,-7.29,-9.07,1989
218,Pennsylvania,Ivy,13,13,66.4,68.3,-1.96,-7.13,-11.14,2.05,-9.09,1989
219,Southern Utah,Ind,10,18,74.5,81.7,-7.21,-0.42,-1.37,-7.93,-9.31,1989
220,Hofstra,ECC,14,15,68,68.6,-0.55,-9.36,-11.49,2.13,-9.36,1989
221,Morehead State,OVC,15,16,78.7,79.2,-0.52,-5.93,-2.65,-6.73,-9.39,1989
222,Baylor,SWC,5,22,64.3,76.4,-12.04,2.39,-9.97,0.55,-9.42,1989
223,Samford,TAAC,8,19,65.6,71.1,-5.59,-4.25,-13.91,4.4,-9.5,1989
224,Florida A&M,MEAC,20,10,78.5,75.6,2.9,-11.94,-3.22,-6.49,-9.71,1989
225,Lehigh,ECC,10,18,76.1,77.3,-1.18,-7.51,-3.09,-6.72,-9.81,1989
226,Coastal Carolina,Big South,14,14,72.9,73.8,-0.86,-7.7,-7.47,-2.4,-9.86,1989
227,Fairfield,MAAC,7,21,62.7,69.3,-6.57,-2.88,-14,3.83,-10.17,1989
228,Chicago State,Ind,12,16,73.8,72.5,1.36,-5.58,-8,-2.2,-10.2,1989
229,Alabama State,SWAC,13,16,87,89.5,-2.45,-5.91,3.82,-14.04,-10.22,1989
230,Maine,NAC,9,19,64.8,70.3,-5.57,-4.68,-13.01,2.73,-10.28,1989
231,Marist,NEC,13,15,79.2,78.1,1.07,-8.89,-3.42,-6.97,-10.39,1989
232,St. Bonaventure,A-10,13,15,70.5,80.1,-9.61,-0.85,-4.74,-5.65,-10.39,1989
233,Massachusetts,A-10,10,18,78.1,84.8,-6.64,-2.03,1.35,-11.93,-10.59,1989
234,Jackson State,SWAC,15,13,78,77.1,0.89,-8.45,-6.61,-4,-10.61,1989
235,UT Arlington,Southland,7,21,66.4,71.7,-5.32,-5.25,-12.03,1.42,-10.61,1989
236,Niagara,NAC,9,19,67.2,74,-6.82,-3.9,-8.35,-2.37,-10.72,1989
237,Stephen F. Austin,Southland,10,18,69.7,74.7,-5.04,-5.79,-8.5,-2.29,-10.79,1989
238,Fairleigh Dickinson,NEC,17,12,73.3,71.3,1.93,-11.15,-9.78,-1.19,-10.97,1989
239,Campbell,Big South,18,12,71.7,68.5,3.27,-11.32,-10.34,-0.64,-10.98,1989
240,Idaho State,Big Sky,9,18,67,74.1,-7.11,-0.1,-7.27,-3.76,-11.02,1989
