"","Year","Round","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2"
"30",1990,1,6,92,"New Mexico St","Loyola Marymount",111,11,26,5,80.5,72.3,8.19,4.85,6.45,5.15,11.61,26,6,122.4,108.1,14.38,1.95,47.49,-31.17,16.32
"31",1990,1,5,86,"Illinois","Dayton",88,12,21,8,81.7,72.6,9.1,9.82,11.99,6.4,18.39,22,10,89.7,83.6,6.06,3.69,17.28,-7.53,9.75
"32",1990,1,7,88,"Georgia","Texas",100,10,20,9,82.7,76.4,6.31,5.51,10.18,1.63,11.82,24,9,93.7,85.1,8.55,5.36,21.13,-7.22,13.91
"33",1991,1,6,56,"New Mexico St","Creighton",64,11,23,6,81,69.6,11.45,1.81,3.53,8.53,12.06,24,8,76.9,70,6.97,3.79,3.84,6.92,10.76
"34",1991,1,7,48,"Virginia","BYU",61,10,21,12,74.3,68.5,5.79,9.32,2.1,13.01,15.11,21,13,72.2,68.7,3.47,5.37,1.46,7.38,8.84
"35",1991,1,3,84,"Nebraska","Xavier",89,14,26,8,87.6,78.6,8.97,9.49,16.19,2.27,18.46,22,10,81,75,5.94,-1.52,3.57,0.93,4.51
"36",1991,1,6,62,"LSU","Connecticut",79,11,20,10,90.4,80.8,9.67,8.99,17.12,0.73,17.85,20,11,73.3,65.3,8,8.84,2.33,14.24,16.57
"37",1991,1,2,69,"Syracuse","Richmond",73,15,26,6,83.8,74.4,9.41,8.3,11.98,5.45,17.43,22,10,72.1,67.8,4.38,-1.38,-4.56,6.7,2.14
"38",1991,1,4,69,"UCLA","Penn St",74,13,23,9,92.3,81.4,10.94,9.11,20.7,-0.72,19.98,21,11,74.3,69,5.25,3.68,-1.13,10.06,8.93
"39",1991,1,5,56,"Mississippi St","Eastern Michigan",76,12,20,9,80.8,74.9,5.83,7.04,7.48,5.39,12.87,26,7,77.9,67.6,10.27,0.5,2.94,6.95,9.89
"40",1991,1,7,63,"Purdue","Temple",80,10,17,12,69.3,66.3,3,8.87,-1.49,13.36,11.87,24,10,70,64,5.94,6.37,-2.55,15.16,12.61
"41",1992,1,3,80,"Arizona","East Tennessee St",87,14,24,7,84.8,68.8,15.97,8.19,15.6,8.56,24.16,24,7,86.1,77.7,8.45,-1.79,9.25,-2.54,6.71
"42",1992,1,7,57,"St Johns","Tulane",61,10,19,11,71.4,65.1,6.27,9.35,3.42,12.2,15.62,22,9,82.1,73.2,8.94,2.3,10.41,1.39,11.8
"43",1992,1,7,74,"Charlotte","Iowa St",76,10,23,9,76.6,70.5,6.13,3.8,3.49,5.67,9.16,21,13,81.5,73.3,8.24,8.77,9.94,3.73,13.67
"44",1992,1,4,83,"Oklahoma","Louisiana Lafayette",87,13,21,9,94.6,82,12.63,8.62,21.28,-2.26,19.02,21,11,80.2,75.6,4.66,0.88,6.74,-1.2,5.54
"45",1992,1,5,73,"DePaul","New Mexico St",81,12,20,9,81.1,76.2,4.97,6.7,11.01,0.7,11.7,25,8,78,71.3,6.64,4.28,5.74,4.07,9.81
"46",1993,1,6,53,"Kansas St","Tulane",55,11,19,11,70.3,67,3.33,6.91,-0.59,10.44,9.85,22,9,75.9,69.5,6.35,2.39,2.75,5.37,8.13
"47",1993,1,2,61,"Arizona","Santa Clara",64,15,24,4,83.6,71.4,12.21,8.28,15.06,5.43,20.5,19,12,68.9,66.4,2.55,0.24,-4.44,5.85,1.41
"48",1993,1,4,78,"Georgia Tech","Southern",93,13,19,11,77.7,75.2,2.47,10.39,7.64,5.32,12.95,21,10,97.1,85.5,11.65,-7.48,14.6,-12.59,2
"49",1993,1,5,68,"New Mexico","George Washington",82,12,24,7,69.8,63.2,6.58,3.3,-1.7,10.67,8.97,21,9,76.4,69.1,7.3,4.26,5.13,6.43,11.56
"50",1994,1,5,57,"California","Wisconsin Green Bay",61,12,22,8,78.6,71.5,7.1,7.19,8.2,6.09,14.29,27,7,66.4,55.1,11.35,-1.89,-9.48,18.95,9.47
