Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
171,Appalachian State,Southern (North),21,8,72,66.1,5.93,-5.82,-2.78,-0.31,-3.09,1998
172,Canisius,MAAC,13,14,68.3,70.9,-2.63,-0.49,-4.16,1.04,-3.12,1998
173,Bowling Green State,MAC (East),10,16,68.3,71.4,-3.08,0.96,-2.51,-0.69,-3.2,1998
174,Loyola (MD),MAAC,12,16,76.5,79.2,-2.64,-0.56,5.55,-8.75,-3.2,1998
175,East Carolina,CAA,10,17,67.4,68,-0.52,-1.31,-2.13,-1.22,-3.35,1998
176,Fordham,A-10 (East),6,21,65.3,72.4,-7.11,3.73,-3.79,0.41,-3.39,1998
177,Tulane,CUSA (National),7,22,66.6,72.4,-5.79,2.38,-2.28,-1.13,-3.41,1998
178,Lamar,Sun Belt,15,14,66.8,66.1,0.69,-4.16,-6.07,2.61,-3.47,1998
179,Portland,WCC,14,13,67.5,67.4,0.04,0.05,-6.64,3.13,-3.51,1998
180,Cal State Fullerton,Big West (West),12,16,73.4,74.5,-1.04,-0.98,1.6,-5.13,-3.54,1998
181,Montana,Big Sky,16,14,68.4,66.4,2,-3.41,-6.68,3.03,-3.65,1998
182,Kent State,MAC (East),13,17,69.4,72.3,-2.93,0.68,-2.36,-1.4,-3.76,1998
183,Drexel,AEC,13,15,66.8,67.6,-0.86,-2.92,-5.31,1.53,-3.77,1998
184,Navy,Patriot,19,11,71.1,64.7,6.37,-7.49,-5.03,1.25,-3.79,1998
185,Northern Illinois,MAC (West),10,16,67.8,68.1,-0.23,-1.87,-5.5,1.59,-3.91,1998
186,UNC Asheville,Big South,19,9,71.5,66.9,4.64,-5.95,-3.96,-0.31,-4.27,1998
187,Wright State,MW Coll,10,18,67.2,71.8,-4.57,1.51,-2.55,-1.8,-4.35,1998
188,Lafayette,Patriot,19,9,74.9,68,6.86,-8.19,-0.73,-3.69,-4.42,1998
189,Hartford,AEC,15,12,79.2,78.4,0.81,-4.73,5.79,-10.44,-4.65,1998
190,Manhattan,MAAC,12,17,65.6,69.4,-3.83,-0.89,-6.78,2.06,-4.72,1998
191,Austin Peay,OVC,17,11,71.9,67.5,4.43,-7.23,-5.37,0.64,-4.73,1998
192,Saint Francis (PA),NEC,17,10,69.3,66.6,2.7,-7.46,-6.62,1.81,-4.81,1998
193,Eastern Illinois,OVC,16,11,74.4,71.6,2.81,-5.89,0.41,-5.3,-4.89,1998
194,American,CAA,9,19,61.6,65.5,-3.89,-0.5,-8.32,3.41,-4.91,1998
195,Loyola (IL),MW Coll,15,15,66.6,68.2,-1.63,-1.34,-5.29,0.29,-4.99,1998
196,Mount St. Mary's,NEC,13,15,71.4,70.8,0.61,-5.6,-3.39,-1.61,-4.99,1998
197,James Madison,CAA,11,16,64,67.7,-3.7,-1.3,-5.69,0.69,-5.01,1998
198,Virginia Commonwealth,CAA,9,19,63.8,67.1,-3.29,-1.73,-5.56,0.54,-5.01,1998
199,Central Florida,TAAC (East),17,11,76.1,71.4,4.71,-7.94,0.99,-6.09,-5.09,1998
200,Radford,Big South,20,10,75.7,72.1,3.63,-9.38,0.07,-5.32,-5.25,1998
201,Western Kentucky,Sun Belt,10,19,65.7,69.7,-3.97,-1.31,-5.93,0.65,-5.28,1998
