Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Ohio State,Big Ten,34,3,77.1,59.7,17.46,8.38,13.39,12.45,25.84,2011
2,Duke,ACC,32,5,80.9,64.7,16.19,8.32,16.55,7.95,24.51,2011
3,Kansas,Big 12,35,3,81.2,64.7,16.47,7.62,15.48,8.62,24.1,2011
4,Pittsburgh,Big East,28,6,73.9,61,12.97,7.85,9.54,11.28,20.82,2011
5,Texas,Big 12,28,8,75,62.2,12.86,7.96,9.52,11.3,20.82,2011
6,Kentucky,SEC (East),29,9,74.9,63.5,11.39,8.91,10.67,9.64,20.3,2011
7,Washington,Pac-10,24,11,83.1,70.7,12.37,7.74,18.29,1.83,20.12,2011
8,Purdue,Big Ten,26,8,72.5,61.9,10.68,8.69,9.34,10.02,19.36,2011
9,North Carolina,ACC,29,8,77.5,68.8,8.73,10.15,13,5.87,18.87,2011
10,Syracuse,Big East,27,8,73.4,63.3,10.06,8.79,9.39,9.45,18.85,2011
11,Wisconsin,Big Ten,25,9,67.9,58.6,9.35,9.42,4.24,14.52,18.77,2011
12,Brigham Young,MWC,32,5,81.4,67.9,13.51,5.76,15.83,2.82,18.65,2011
13,Louisville,Big East,25,10,74.9,64.5,10.4,8.2,10.42,8.18,18.6,2011
14,Notre Dame,Big East,27,7,75.2,65.5,9.74,8.43,11.1,7.07,18.17,2011
15,San Diego State,MWC,34,3,71.9,59.2,12.65,6.36,5.28,12.68,17.96,2011
16,Connecticut,Big East,32,9,72.4,64.9,7.51,10.44,9.23,8.72,17.95,2011
17,Illinois,Big Ten,20,14,71,65.4,5.62,11.11,7.98,8.74,16.72,2011
18,Arizona,Pac-10,30,8,76.4,67.9,8.55,7.99,11.12,5.42,16.54,2011
19,Florida,SEC (East),29,8,72.1,63.4,8.7,7.57,7.74,8.53,16.27,2011
20,West Virginia,Big East,21,12,69.8,64.7,5.12,11.03,5.64,10.51,16.15,2011
21,Cincinnati,Big East,26,9,68.9,59.6,9.31,6.1,3.69,11.72,15.41,2011
22,Vanderbilt,SEC (East),23,11,75.9,67.7,8.24,6.86,11.12,3.97,15.1,2011
23,Villanova,Big East,21,12,72.2,65.4,6.82,8.23,8.23,6.82,15.05,2011
24,Maryland,ACC,19,14,76.8,67.6,9.24,5.76,10.59,4.41,15,2011
25,Marquette,Big East,22,15,75.2,68.8,6.38,8.51,10.23,4.66,14.89,2011
26,Missouri,Big 12,23,11,80.8,71.6,9.21,6.5,14.73,0.04,14.77,2011
27,Nevada-Las Vegas,MWC,24,9,71.6,62.9,8.67,6,6.84,7.82,14.67,2011
28,Georgetown,Big East,21,11,70.6,66.3,4.22,10.39,7.15,7.47,14.61,2011
29,Kansas State,Big 12,23,11,72.9,66.1,6.71,8.41,7.55,7.04,14.59,2011
30,Michigan,Big Ten,21,14,66.5,62.5,4.03,10.68,3.14,11.07,14.21,2011
31,Gonzaga,WCC,25,10,76.7,65.9,10.77,4.01,8.59,5.27,13.86,2011
32,Virginia Tech,ACC,22,12,70.3,62.7,7.56,6.29,4.76,9.09,13.84,2011
33,Clemson,ACC,22,12,68.5,61.4,7.18,6.58,3.37,10.39,13.76,2011
34,Michigan State,Big Ten,19,15,68.8,66.6,2.21,11.67,6.14,7.56,13.7,2011
35,Florida State,ACC,23,11,69.1,62,7.03,6.45,3.52,9.97,13.48,2011
36,Utah State,WAC,30,4,72,58.7,13.35,0.5,1.88,11.35,13.23,2011
37,St. John's (NY),Big East,21,12,70.1,67,3.09,10.01,6.41,6.69,13.1,2011
38,Belmont,A-Sun,30,5,79.7,62.2,17.49,-4.42,9.39,3.68,13.07,2011
39,Saint Mary's (CA),WCC,25,9,78.9,66.3,12.68,1.95,9.69,3.35,13.04,2011
40,Texas A&M,Big 12,24,9,68.3,60.9,7.42,5.94,2.24,10.38,12.62,2011
41,Wichita State,MVC,29,8,72.7,61.6,11.05,1.79,6.89,5.68,12.57,2011
42,Temple,A-10,26,8,70.6,62.5,8.12,4.23,3.97,8.38,12.35,2011
43,Washington State,Pac-10,22,13,72.9,67.4,5.46,6.81,7.3,4.97,12.27,2011
44,Penn State,Big Ten,19,15,63.1,62.5,0.53,11.45,0.94,11.04,11.98,2011
45,Xavier,A-10,24,8,72.1,64.6,7.47,4.41,6.3,5.58,11.88,2011
46,Minnesota,Big Ten,17,14,68.9,67,1.97,9.79,5.68,6.07,11.75,2011
47,New Mexico,MWC,22,13,73.2,65.9,7.26,4.9,6.54,5.18,11.72,2011
48,Alabama,SEC (West),25,12,66.8,59.4,7.43,4.27,0.14,11.56,11.7,2011
49,UCLA,Pac-10,23,11,70.1,66.3,3.76,7.93,5.03,6.67,11.7,2011
50,George Mason,CAA,27,7,72.8,62.5,10.29,1.37,6.01,5.65,11.66,2011
51,Northwestern,Big Ten,20,14,71.8,67.7,4.12,7.54,7.77,3.89,11.66,2011
52,Butler,Horizon,28,10,71.2,64.1,7.11,5.02,5.06,6.48,11.53,2011
53,Southern California,Pac-10,19,15,66.2,62.7,3.56,7.97,0.17,11.35,11.52,2011
54,Colorado,Big 12,24,14,79.6,73.3,6.26,5.61,12.55,-1.1,11.45,2011
55,Richmond,A-10,29,8,69.6,61.2,8.43,2.79,2.85,8.38,11.23,2011
56,Tennessee,SEC (East),19,15,69.9,67.5,2.35,8.73,5.2,5.89,11.08,2011
57,Seton Hall,Big East,13,18,67.5,65.8,1.71,9.33,4.13,6.9,11.03,2011
58,Nebraska,Big 12,19,13,66.4,60.5,5.88,4.67,-0.93,11.48,10.54,2011
59,Miami (FL),ACC,21,15,71.6,67.6,4.06,6.42,6.33,4.14,10.47,2011
60,Georgia,SEC (East),21,12,68.7,64.4,4.3,6.13,3.47,6.97,10.43,2011
