Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Louisville,AAC,31,6,81,61.1,19.89,4.8,13.26,11.43,24.69,2014
2,Arizona,Pac-12,33,5,72.9,58.6,14.32,9.04,7.31,16.05,23.36,2014
3,Florida,SEC,36,3,69.9,57.8,12.15,8.54,4.39,16.3,20.69,2014
4,Kansas,Big 12,25,10,79,70.1,8.86,11.4,13.34,6.91,20.25,2014
5,Wisconsin,Big Ten,30,8,73.5,64,9.5,10.19,9.22,10.47,19.69,2014
6,Duke,ACC,26,9,78.4,67.4,11.03,8.48,13.87,5.64,19.51,2014
7,Michigan State,Big Ten,29,9,75.5,65.6,9.97,9.38,10.45,8.9,19.35,2014
8,Oklahoma State,Big 12,21,13,80.2,69.6,10.68,8.34,13.7,5.31,19.02,2014
9,Villanova,Big East,29,5,78,66.5,11.47,7.5,10.41,8.56,18.97,2014
10,Iowa,Big Ten,20,13,81.5,70.3,11.15,7.43,16.33,2.25,18.58,2014
11,Iowa State,Big 12,28,8,83,74.4,8.64,9.88,17.3,1.22,18.52,2014
12,Michigan,Big Ten,28,9,73.9,65.1,8.86,9.65,9.08,9.44,18.52,2014
13,UCLA,Pac-12,28,9,81.2,70.4,10.78,7.62,14.33,4.07,18.4,2014
14,Virginia,ACC,30,7,66.2,55.7,10.51,7.86,0.62,17.76,18.38,2014
15,Kentucky,SEC,29,11,74.8,66.6,8.18,9.9,9.5,8.57,18.07,2014
16,Creighton,Big East,27,8,78.7,67.9,10.86,7.17,12.14,5.89,18.03,2014
17,Ohio State,Big Ten,25,10,69.5,59.8,9.71,8.12,3.37,14.47,17.84,2014
18,Pittsburgh,ACC,26,10,71.8,61.9,9.92,7.54,7.31,10.15,17.46,2014
19,Tennessee,SEC,24,13,72.2,61.7,10.51,7.84,5.88,11.46,17.34,2014
20,Connecticut,AAC,32,8,71.8,63.2,8.6,8.63,5.29,11.93,17.23,2014
21,Wichita State,MVC,35,1,75.2,59.5,15.69,1.74,6.06,10.59,16.65,2014
22,Syracuse,ACC,28,6,68,59.2,8.79,7.25,2.13,13.92,16.05,2014
23,Baylor,Big 12,26,12,74.8,67.8,7,10.11,6.78,9.02,15.8,2014
24,Oregon,Pac-12,24,10,81.9,74.1,7.71,8.05,14.69,1.06,15.75,2014
25,Gonzaga,WCC,29,7,76.7,65.9,10.81,5.36,6.61,8.96,15.56,2014
26,Cincinnati,AAC,27,7,68.4,58.4,9.97,5.28,0.7,14.55,15.26,2014
27,North Carolina,ACC,24,10,76.6,69.8,6.82,8.42,10.62,4.63,15.24,2014
28,San Diego State,MWC,31,5,70.3,57,13.28,4.86,0.91,14.04,14.95,2014
29,Oklahoma,Big 12,23,10,81.9,76,5.94,8.97,15.64,-0.73,14.91,2014
30,Virginia Commonwealth,A-10,26,9,75,65.2,9.77,4.78,7.98,6.57,14.55,2014
31,Arkansas,SEC,22,12,80.1,71.3,8.76,5.57,13.25,1.09,14.34,2014
32,Southern Methodist,AAC,27,10,71,62.2,8.76,4.97,4.06,9.67,13.73,2014
33,Stanford,Pac-12,23,13,72.7,68.3,4.42,9,6.68,6.74,13.42,2014
34,Arizona State,Pac-12,21,12,75.3,69.4,5.91,7.41,9.13,4.19,13.32,2014
35,Memphis,AAC,24,10,76.9,70.5,6.38,7.14,8.98,4.04,13.02,2014
36,New Mexico,MWC,27,7,74,66.1,7.88,4.84,6.62,6.1,12.72,2014
37,Texas,Big 12,24,11,74.2,70.7,3.51,9.15,7.27,5.4,12.67,2014
38,Utah,Pac-12,21,12,75.1,64.3,10.82,6.21,4.06,8.61,12.66,2014
39,Florida State,ACC,22,14,70.9,66.4,4.5,8.13,6.08,6.55,12.63,2014
40,Louisiana Tech,CUSA,29,8,81,66.5,14.54,-1.2,9.14,3.3,12.44,2014
41,Kansas State,Big 12,20,13,69.1,65.4,3.67,8.47,1.4,10.74,12.14,2014
42,Xavier,Big East,21,13,71.8,68.1,3.71,8.14,5.63,6.21,11.84,2014
43,West Virginia,Big 12,17,16,77.2,73.4,3.76,8.02,10.02,1.76,11.78,2014
44,Minnesota,Big Ten,25,13,71.4,67.7,3.71,8.34,6.08,5.67,11.75,2014
45,St. John's (NY),Big East,20,13,72.8,67.7,5.12,6.56,5.82,5.86,11.68,2014
46,Brigham Young,WCC,23,12,83.7,77.3,6.43,5.72,15.1,-3.46,11.63,2014
47,Saint Louis,A-10,27,7,69.8,61.9,7.91,4.24,2.13,9.5,11.63,2014
48,Providence,Big East,23,12,73.3,69.8,3.51,7.85,6.93,4.43,11.37,2014
49,Maryland,ACC,17,15,70.9,67.7,3.25,8.08,6.32,5.01,11.33,2014
50,Indiana,Big Ten,17,15,72.3,67.6,4.69,6.64,5.99,5.33,11.32,2014
51,Clemson,ACC,23,13,63.5,58.4,5.11,5.97,-3.75,14.83,11.08,2014
52,Georgetown,Big East,18,15,71,68.3,2.7,8.27,4.36,6.6,10.96,2014
53,Colorado,Pac-12,23,12,70.2,68.2,2,8.8,4.06,6.74,10.8,2014
54,Harvard,Ivy,27,5,73.2,61,12.22,-0.47,3.99,6.79,10.79,2014
55,California,Pac-12,21,14,72.4,69.1,3.26,7.44,5.51,5.19,10.7,2014
56,Massachusetts,A-10,24,9,75.8,71.2,4.61,6,9.22,1.39,10.61,2014
57,George Washington,A-10,24,9,73.2,67,6.18,4.42,4.78,5.82,10.6,2014
58,Dayton,A-10,26,11,72.2,67,5.22,5.34,5.03,5.52,10.55,2014
59,Illinois,Big Ten,20,15,64.2,62.2,2.06,8.28,-1.5,11.84,10.33,2014
60,Nebraska,Big Ten,19,13,66.8,65.2,1.63,8.5,2.73,7.4,10.13,2014
61,Marquette,Big East,17,15,72.2,68.7,3.47,6.61,5.65,4.43,10.08,2014
