"","Year","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2","Upset","WP1","WP2","upsetMOV","seedDiff"
"29",1986,1,75,"Kentucky","Davidson",55,16,32,4,74.1,61.2,12.83,9.63,8.77,13.03,21.8,20,11,70,63.5,6.55,-3.26,-4.81,5.22,0.41,0,0.89,0.65,-20,15
"30",1986,2,68,"Georgia Tech","Marist",53,15,27,7,75.1,63.6,11.5,11.71,10.78,10.99,21.77,19,12,66.3,63.4,2.87,-9.3,-7.44,-0.03,-7.47,0,0.79,0.61,-15,13
"31",1986,3,95,"Memphis","Ball St",63,14,28,6,82.4,67.4,15,5.48,14.27,5.36,19.63,21,10,73.3,70.8,2.42,-1.75,2.51,-2.22,0.29,0,0.82,0.68,-32,11
"32",1986,4,75,"Illinois","Fairfield",51,13,22,10,72.8,61.2,11.66,9.44,6.42,13.93,20.35,24,7,65.3,61.9,3.42,-6.65,-6.79,3.14,-3.65,0,0.69,0.77,-24,9
"33",1986,5,97,"Alabama","Xavier",80,12,24,9,75.5,67.7,7.82,9.09,10.66,6.06,16.73,25,5,79,70,9.03,1.05,10.28,-1.83,8.45,0,0.73,0.83,-17,7
"34",1986,6,87,"Purdue","LSU",94,11,22,10,77,70.1,6.94,9.51,11.19,4.58,15.77,26,12,75.7,70.5,5.21,10.71,10.56,4.57,15.13,1,0.69,0.68,7,5
"35",1986,7,62,"Virginia Tech","Villanova",71,10,22,9,78.7,73.1,5.58,5.66,11.96,-0.67,11.3,23,14,69.8,66.2,3.51,6.26,1.72,7.62,9.34,1,0.71,0.62,9,3
"36",1986,1,83,"St Johns","Montana St",74,16,31,5,77.1,66.2,10.92,6.26,9.38,7.83,17.21,14,17,76.2,75.4,0.74,1.47,9.83,-8.68,1.15,0,0.86,0.45,-9,15
"37",1986,2,93,"Louisville","Drexel",73,15,32,7,79.4,69.1,10.31,10.42,13.03,7.62,20.65,19,12,74.5,72.7,1.84,-8.67,0.62,-8.17,-7.56,0,0.82,0.61,-20,13
"38",1986,3,84,"North Carolina","Utah",72,14,28,6,86.6,69,17.62,8.51,21.23,4.9,26.13,20,10,73.8,70,3.8,1.99,3.2,1.4,4.61,0,0.82,0.67,-12,11
"39",1986,4,74,"UNLV","Louisiana Monroe",51,13,33,5,76,66.8,9.16,4.34,11.98,2.81,14.79,20,10,71.1,64.9,6.2,-0.67,0.23,4.93,5.16,0,0.87,0.67,-23,9
"40",1986,5,69,"Maryland","Pepperdine",64,12,19,14,70.4,65.6,4.73,11.04,5.05,10.02,15.08,25,5,77.5,67.9,9.57,-0.79,7.94,0.86,8.8,0,0.58,0.83,-5,7
"41",1986,6,66,"UAB","Missouri",64,11,25,11,68.4,60.3,8.19,6.46,2.91,10.63,13.55,21,14,73,69.2,3.8,8.55,6.77,5.81,12.58,0,0.69,0.6,-2,5
"42",1986,7,83,"Bradley","UTEP",65,10,32,3,71.5,64.1,7.43,2.58,6.15,3.79,9.93,27,6,67.8,60.2,7.58,0.61,-1.47,9.38,7.91,0,0.91,0.82,-18,3
"43",1986,1,85,"Duke","Mississippi Valley St",78,16,37,3,79.9,67.2,12.63,9.5,16.07,6.03,22.1,20,11,75.9,70.6,5.29,-10.28,-4.08,-1.47,-5.54,0,0.92,0.65,-7,15
"44",1986,2,101,"Syracuse","Brown",52,15,26,6,83.6,68.3,15.31,6.65,16.33,5.42,21.74,16,11,72.7,73,-0.3,-5.86,1.26,-9.24,-7.98,0,0.81,0.59,-49,13
"45",1986,3,79,"Indiana","Cleveland St",83,14,21,8,76.3,67.9,8.45,11.41,12.32,6.36,18.68,29,4,88.9,69.6,19.27,-2.48,16.5,-2.78,13.72,1,0.72,0.88,4,11
"46",1986,4,80,"Oklahoma","Northeastern",74,13,26,9,87.9,75.4,12.49,8.49,20.9,-3,17.9,26,5,74.3,64.4,9.9,-5.24,4,-0.3,3.69,0,0.74,0.84,-6,9
"47",1986,5,68,"Virginia","DePaul",72,12,19,11,70.4,64.9,5.43,9.41,5.47,9.37,14.84,18,13,69.1,65.8,3.35,7.43,3.03,7.76,10.78,1,0.63,0.58,4,7
"48",1986,6,60,"St Josephs","Richmond",59,11,26,6,69.4,62.8,6.59,0.96,1.67,5.95,7.62,23,7,66.1,59.4,6.67,0.84,-1.79,10.04,8.25,0,0.81,0.77,-1,5
"49",1986,7,87,"Navy","Tulsa",68,10,30,5,77.2,63.3,13.83,1.28,8.75,4.74,13.49,23,9,65.3,57.9,7.34,3.72,-0.29,10.51,10.22,0,0.86,0.72,-19,3
"50",1986,1,71,"Kansas","North Carolina A&T",46,16,35,4,80.5,67.5,12.92,10.42,14.98,8.21,23.18,22,8,62.8,57.7,5.1,-12.67,-12.61,4.86,-7.75,0,0.9,0.73,-25,15
"51",1986,2,70,"Michigan","Akron",64,15,28,5,77.9,64.8,13.12,9.56,10.85,11.03,21.88,22,8,76.2,68.5,7.73,-3.79,0.55,-0.5,0.05,0,0.85,0.73,-6,13
"52",1986,3,83,"Notre Dame","Arkansas Little Rock",90,14,23,6,78.9,64.8,14.07,4.16,10.17,7.49,17.66,23,11,79.3,73,6.29,-4.89,7.11,-5.72,1.39,1,0.79,0.68,7,11
"53",1986,4,70,"Georgetown","Texas Tech",64,13,24,8,78.5,65,13.53,6.77,9.82,7.67,17.49,17,14,62,62.7,-0.71,5.19,-3.48,7.4,3.92,0,0.75,0.55,-6,9
"54",1986,5,72,"Michigan St","Washington",70,12,23,8,83.1,71.3,11.81,7.98,17.53,2.26,19.79,19,12,72.1,69,3.1,5.38,5.64,2.84,8.48,0,0.74,0.61,-2,7
"55",1986,6,66,"NC State","Iowa",64,11,21,13,70.6,63.2,7.38,10.39,4.78,12.15,16.92,20,12,73.6,65.7,7.91,9.28,7.51,8.41,15.93,0,0.62,0.62,-2,5
"56",1986,7,81,"Iowa St","Miami Ohio",79,10,22,11,76.1,69.1,7,10.69,9.66,4.8,14.46,24,7,76.8,67.7,9.06,-0.07,6.01,1.41,7.41,0,0.67,0.77,-2,3
"57",1987,1,95,"UNLV","Idaho St",70,16,37,2,92.6,75.5,17.1,6.09,23.09,0.02,23.11,15,16,68.7,67.2,1.52,0.37,-5.36,4.19,-1.17,0,0.95,0.48,-25,15
"58",1987,2,99,"Iowa","Santa Clara",76,15,30,5,87.3,74.4,12.89,7.98,15.8,4.79,20.59,18,14,68.8,66,2.81,1.86,-2.4,5.29,2.9,0,0.86,0.56,-23,13
"59",1987,3,93,"Pittsburgh","Marist",68,14,25,8,84.3,72.8,11.52,7.26,14.6,2,16.6,20,10,68.5,62.9,5.6,-8.23,-10.04,6.41,-3.63,0,0.76,0.67,-25,11
"60",1987,4,92,"UCLA","Central Michigan",73,13,25,7,77.9,71.7,6.19,6.87,10.86,2.2,13.05,22,8,74.5,65.7,8.8,0.25,1,5.13,6.14,0,0.78,0.73,-19,9
"61",1987,5,60,"Virginia","Wyoming",64,12,21,10,74.2,68.4,5.84,7.77,4.32,9.29,13.61,24,10,71,65.7,5.35,3.02,-1.14,9.04,7.9,1,0.68,0.71,4,7
