"","Year","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2","Upset","WP1","WP2","upsetMOV","seedDiff"
"127",1989,2,90,"Duke","South Carolina St",69,15,28,8,86.5,69.8,16.75,8.2,14.27,10.68,24.95,25,8,82.1,76.2,5.82,-9.96,1.17,-5.72,-4.55,0,0.78,0.76,-21,13
"128",1989,3,78,"Stanford","Siena",80,14,26,7,76.3,65,11.36,8.67,5.81,14.2,20,25,5,85,69.8,15.13,-5.65,9.34,-0.64,8.7,1,0.79,0.83,2,11
"129",1989,4,87,"Iowa","Rutgers",73,13,23,10,89.6,81.2,8.36,9.71,18.72,0.28,18.99,18,13,76.9,75,1.94,0.58,2.07,0.45,2.52,0,0.7,0.58,-14,9
"130",1989,5,81,"NC State","South Carolina",66,12,22,9,84.5,74,10.52,7.16,12.37,5.3,17.67,19,11,75.3,70.8,4.47,4.53,-0.51,8.28,7.77,0,0.71,0.63,-15,7
"131",1989,6,75,"Kansas St","Minnesota",86,11,19,11,77.1,73.1,4.03,10.41,4.91,8.72,13.63,19,12,76.2,71.1,5.03,10.09,3.91,9.87,13.79,1,0.63,0.61,11,5
"132",1989,7,84,"West Virginia","Tennessee",68,10,26,5,78.1,66.2,11.9,-0.86,1.72,9.33,11.05,19,11,84,80.2,3.8,5.41,10.47,-1.26,9.21,0,0.84,0.63,-16,3
"133",1989,1,94,"Arizona","Robert Morris",60,16,29,4,84.5,66.9,17.61,10.26,13.94,13.98,27.92,21,9,77.1,74.2,2.9,-11.34,-5.36,-3.41,-8.77,0,0.88,0.7,-34,15
"134",1989,2,99,"Indiana","George Mason",85,15,27,8,78.5,71.1,7.43,12.84,9.01,11.25,20.27,20,11,78.2,74.1,4.06,-5.65,-0.2,-2.72,-2.92,0,0.77,0.65,-14,13
"135",1989,3,60,"Seton Hall","Southwest Missouri St",51,14,31,7,81.8,69.2,12.53,9.16,11.19,9.72,20.91,21,10,70.1,63.3,6.84,0.69,-7.08,13.03,5.96,0,0.82,0.68,-9,11
"136",1989,4,68,"UNLV","Idaho",56,13,29,8,85.3,74.5,10.76,6.66,13.24,4.17,17.42,25,6,76.2,61.1,15.06,-2.62,-0.37,10.82,10.45,0,0.78,0.81,-12,9
"137",1989,5,63,"Memphis","DePaul",66,12,21,11,79.5,72.5,6.97,6.36,5.39,6.72,12.11,21,12,77.8,73.2,4.64,5.28,1.16,8.24,9.41,1,0.66,0.64,3,7
"138",1989,6,90,"Oregon St","Evansville",94,11,22,8,77.1,69.5,7.67,8.6,6.16,10.11,16.27,25,6,82.6,71.7,10.9,1.38,7.26,4.9,12.16,1,0.73,0.81,4,5
"139",1989,7,85,"UTEP","LSU",74,10,26,7,78.4,67.2,11.27,3.41,4.96,8.13,13.09,20,12,92.7,89.4,3.28,6.44,19.22,-11.08,8.14,0,0.79,0.62,-11,3
"140",1990,1,75,"Michigan St","Murray St",71,16,28,6,76.2,68.5,7.76,8.86,6.24,10.39,16.62,21,9,73.9,70.6,3.3,-4.61,-3.29,1.04,-2.25,0,0.82,0.7,-4,15
"141",1990,2,70,"Syracuse","Coppin St",48,15,26,7,82.5,71.2,11.27,8.85,11.23,7.46,18.69,26,7,75.9,66.7,9.24,-10.11,-5.88,3.22,-2.67,0,0.79,0.79,-22,13
"142",1990,3,71,"Missouri","Northern Iowa",74,14,26,6,86.8,78.2,8.59,10.12,11.82,4.03,15.85,23,9,77.9,72.8,5.16,0.29,3.22,1.13,4.35,1,0.81,0.72,3,11
"143",1990,4,99,"Georgia Tech","East Tennessee St",83,13,28,7,88.5,80.8,7.66,10.33,17.17,0.82,17.99,27,7,89.2,78.6,10.56,-1.89,11.18,-5.37,5.81,0,0.8,0.79,-16,9
"144",1990,5,70,"LSU","Villanova",63,12,23,9,91.3,81.9,9.41,7.64,17.57,-1.02,16.55,18,15,70.5,68.8,1.67,8.9,-0.11,10.62,10.5,0,0.72,0.55,-7,7
"145",1990,6,64,"Minnesota","UTEP",61,11,23,9,83.3,73.8,9.56,8.86,13.57,4.67,18.24,21,11,69.5,64,5.5,4.52,-1.3,10.69,9.39,0,0.72,0.66,-3,5
"146",1990,7,75,"Virginia","Notre Dame",67,10,20,12,72.5,69.9,2.56,9.57,0.98,11.16,12.13,16,13,79.4,75,4.41,7.58,7.25,4.75,12,0,0.62,0.55,-8,3
"147",1990,1,102,"UNLV","Arkansas Little Rock",72,16,35,5,93.5,78.5,15.03,9.43,21.02,3.44,24.45,20,10,86.9,81,5.83,-5.53,6.79,-6.49,0.3,0,0.88,0.67,-30,15
"148",1990,2,79,"Arizona","South Florida",67,15,25,7,78.9,66.9,12,9.03,9.61,11.43,21.03,20,11,78.5,75.2,3.29,-1.69,2.01,-0.43,1.57,0,0.78,0.65,-12,13
"149",1990,3,76,"Michigan","Illinois St",70,14,23,8,86.2,77.5,8.65,10.2,14.6,3.47,18.07,18,13,72.1,71.5,0.58,3.18,0.08,4.01,4.09,0,0.74,0.58,-6,11
"150",1990,4,78,"Louisville","Idaho",59,13,27,8,83.8,72.9,10.86,6.65,11.6,5.72,17.32,25,6,76.9,65.2,11.68,-3.92,-0.75,7.55,6.79,0,0.77,0.81,-19,9
"151",1990,5,53,"Oregon St","Ball St",54,12,22,7,78.3,71.6,6.79,6.91,8.47,5.23,13.7,26,7,71.5,58.6,12.88,1.05,-3.46,15.48,12.02,1,0.76,0.79,1,7
"152",1990,6,92,"New Mexico St","Loyola Marymount",111,11,26,5,80.5,72.3,8.19,4.85,6.45,5.15,11.61,26,6,122.4,108.1,14.38,1.95,47.49,-31.17,16.32,1,0.84,0.81,19,5
"153",1990,7,71,"Alabama","Colorado St",54,10,26,9,71.8,61.5,10.31,5.79,-2.25,18.21,15.96,21,9,67.6,59.3,8.37,3.17,-3.49,14.04,10.55,0,0.74,0.7,-17,3
"154",1990,1,76,"Connecticut","Boston University",52,16,31,6,79.1,66.1,12.97,7,7.97,10.33,18.3,18,12,72.3,70.4,1.9,-2.87,-3.43,1.8,-1.63,0,0.84,0.6,-24,15
"155",1990,2,79,"Kansas","Robert Morris",71,15,30,5,92.1,72.3,19.74,8.31,17.48,7.98,25.46,22,8,77,69.3,7.7,-5.92,-1.98,1.99,0.02,0,0.86,0.73,-8,13
"156",1990,3,81,"Duke","Richmond",46,14,29,9,89.1,76.6,12.53,8.81,17.81,3.53,21.34,22,10,70,67.9,2.06,-1.14,-3.82,4.75,0.93,0,0.76,0.69,-35,11
"157",1990,4,79,"La Salle","Southern Mississippi",63,13,30,2,86.1,71.3,14.72,-1.34,12.69,0.7,13.38,20,12,81.3,78.8,2.47,3.29,7.34,-1.58,5.76,0,0.94,0.62,-16,9
"158",1990,5,49,"Clemson","BYU",47,12,26,9,79.3,69.9,9.43,6.38,7.44,8.23,15.67,21,9,70.3,65.7,4.63,4.83,0.45,8.94,9.39,0,0.74,0.7,-2,7
"159",1990,6,81,"St Johns","Temple",65,11,24,10,71.8,66.1,5.62,7.28,1.16,11.74,12.9,20,11,68.6,63.9,4.74,3.93,-4.89,13.56,8.67,0,0.71,0.65,-16,5
"160",1990,7,68,"UCLA","UAB",56,10,22,11,80.5,75.6,4.85,8.75,11.93,1.37,13.3,22,9,80.1,69.6,10.48,2.16,6.15,6.5,12.65,0,0.67,0.71,-12,3
"161",1990,1,77,"Oklahoma","Towson",68,16,27,5,101.3,80.4,20.97,9.37,22.92,3.28,26.2,18,13,80,78.5,1.45,-4.58,2.13,-6.4,-4.28,0,0.84,0.58,-9,15
"162",1990,2,75,"Purdue","Louisiana Monroe",63,15,22,8,71.8,65.5,6.37,11.33,2.64,15.05,17.69,22,8,79.8,69,10.83,-7.34,1.05,2.32,3.36,0,0.73,0.73,-12,13
"163",1990,3,70,"Georgetown","Texas Southern",52,14,24,7,81.5,64.8,16.68,9.14,8.47,12.92,21.39,19,12,84.8,77.2,7.55,-5.72,2.76,-2.58,0.18,0,0.77,0.61,-18,11
"164",1990,4,68,"Arkansas","Princeton",64,13,30,5,95.6,79.8,15.8,4.07,21.35,-1.48,19.87,20,7,62.6,51,11.56,-5.41,-15.5,20.41,4.91,0,0.86,0.74,-4,9
"165",1990,5,86,"Illinois","Dayton",88,12,21,8,81.7,72.6,9.1,9.82,11.99,6.4,18.39,22,10,89.7,83.6,6.06,3.69,17.28,-7.53,9.75,1,0.72,0.69,2,7
"166",1990,6,87,"Xavier","Kansas St",79,11,28,5,84.2,73,11.12,3.85,9.63,3.87,13.5,17,15,72.3,68.6,3.75,8.81,-0.56,13.12,12.56,0,0.85,0.53,-8,5
"167",1990,7,88,"Georgia","Texas",100,10,20,9,82.7,76.4,6.31,5.51,10.18,1.63,11.82,24,9,93.7,85.1,8.55,5.36,21.13,-7.22,13.91,1,0.69,0.73,12,3
"168",1991,1,99,"UNLV","Montana",65,16,34,1,97.7,71,26.74,4.34,24.08,7.04,31.12,23,8,79.1,73.3,5.87,-5.2,-0.92,0.51,-0.4,0,0.97,0.74,-34,15
"169",1991,2,93,"Arizona","St Francis",80,15,28,7,86.3,71.7,14.6,9.66,13.39,10.87,24.26,24,8,83.6,77.1,6.5,-5.23,4.49,-3.21,1.27,0,0.8,0.75,-13,13
"170",1991,3,71,"Seton Hall","Pepperdine",51,14,25,9,78.4,69.1,9.35,10.05,7.3,11.26,18.56,22,9,75.4,70.1,5.26,0.88,-1.46,7.08,5.61,0,0.74,0.71,-20,11
"171",1991,4,82,"Utah","South Alabama",72,13,30,4,73.8,64.2,9.56,3.8,-0.06,11.83,11.76,22,9,88.7,72.7,15.97,0.85,11.92,-5.13,6.79,0,0.88,0.71,-10,9
"172",1991,5,60,"Michigan St","Wisconsin Green Bay",58,12,19,11,71.3,68.9,2.43,9.33,1.19,10.58,11.76,24,7,67.9,61.1,6.84,-0.77,-6.95,11.74,4.79,0,0.63,0.77,-2,7
"173",1991,6,56,"New Mexico St","Creighton",64,11,23,6,81,69.6,11.45,1.81,3.53,8.53,12.06,24,8,76.9,70,6.97,3.79,3.84,6.92,10.76,1,0.79,0.75,8,5
"174",1991,7,48,"Virginia","BYU",61,10,21,12,74.3,68.5,5.79,9.32,2.1,13.01,15.11,21,13,72.2,68.7,3.47,5.37,1.46,7.38,8.84,1,0.64,0.62,13,3
"175",1991,1,97,"Ohio St","Towson",86,16,27,4,84.6,68.5,16.16,4.99,10.54,10.61,21.15,19,11,77.5,76.5,0.97,-4.65,-2.26,-1.23,-3.48,0,0.87,0.63,-11,15
"176",1991,2,102,"Duke","Louisiana Monroe",73,15,32,7,87.7,73.4,14.28,10.63,15.42,9.5,24.92,25,8,83.9,75.2,8.67,-8.06,0.92,-0.17,0.76,0,0.82,0.76,-29,13
"177",1991,3,84,"Nebraska","Xavier",89,14,26,8,87.6,78.6,8.97,9.49,16.19,2.27,18.46,22,10,81,75,5.94,-1.52,3.57,0.93,4.51,1,0.76,0.69,5,11
"178",1991,4,75,"St Johns","Northern Illinois",68,13,23,9,72.8,68.1,4.72,9.49,2.07,12.14,14.21,25,6,67.9,57.5,10.42,-3.09,-8.17,15.71,7.54,0,0.72,0.81,-7,9
"179",1991,5,73,"Texas","St Peters",65,12,23,9,86.8,79.8,7.06,7.78,14.67,0.15,14.82,24,7,70.5,63,7.52,-0.98,-5.19,11.73,6.54,0,0.72,0.77,-8,7
"180",1991,6,62,"LSU","Connecticut",79,11,20,10,90.4,80.8,9.67,8.99,17.12,0.73,17.85,20,11,73.3,65.3,8,8.84,2.33,14.24,16.57,1,0.67,0.65,17,5
"181",1991,7,76,"Iowa","East Tennessee St",73,10,21,11,76.8,72.1,4.63,7.59,3.82,6.94,10.75,28,5,94,76.8,17.27,-2.47,14.39,-2.73,11.66,0,0.66,0.85,-3,3
"182",1991,1,101,"North Carolina","Northeastern",66,16,29,6,87.6,71.6,16,10.9,17.61,9.29,26.9,22,11,77,73.4,3.64,-4.2,-1.1,0.53,-0.57,0,0.83,0.67,-35,15
"183",1991,2,69,"Syracuse","Richmond",73,15,26,6,83.8,74.4,9.41,8.3,11.98,5.45,17.43,22,10,72.1,67.8,4.38,-1.38,-4.56,6.7,2.14,1,0.81,0.69,4,13
"184",1991,3,67,"Oklahoma St","New Mexico",54,14,24,8,79.7,66.2,13.47,7.71,5.98,15.19,21.17,20,10,76.9,70.5,6.43,2.42,3.27,4.87,8.14,0,0.75,0.67,-13,11
"185",1991,4,69,"UCLA","Penn St",74,13,23,9,92.3,81.4,10.94,9.11,20.7,-0.72,19.98,21,11,74.3,69,5.25,3.68,-1.13,10.06,8.93,1,0.72,0.66,5,9
"186",1991,5,56,"Mississippi St","Eastern Michigan",76,12,20,9,80.8,74.9,5.83,7.04,7.48,5.39,12.87,26,7,77.9,67.6,10.27,0.5,2.94,6.95,9.89,1,0.69,0.79,20,7
"187",1991,6,114,"NC State","Southern Mississippi",85,11,20,11,89.3,83.5,5.87,9.34,16.47,-1.25,15.22,21,8,84,78.9,5.03,3.39,8.45,-1.05,7.39,0,0.65,0.72,-29,5
"188",1991,7,63,"Purdue","Temple",80,10,17,12,69.3,66.3,3,8.87,-1.49,13.36,11.87,24,10,70,64,5.94,6.37,-2.55,15.16,12.61,1,0.59,0.71,17,3
"189",1991,1,117,"Arkansas","Georgia St",76,16,34,4,99.6,80.4,19.18,8.63,27.38,-0.1,27.28,16,15,79.1,78.3,0.81,-9.16,-2.8,-5.55,-8.35,0,0.89,0.52,-41,15
"190",1991,2,79,"Indiana","Coastal Carolina",69,15,29,5,84.8,69.2,15.59,7.68,14.17,9.04,23.21,24,8,73.1,64.7,8.44,-9.47,-6.02,5.58,-0.44,0,0.85,0.75,-10,13
"191",1991,3,55,"Kansas","New Orleans",49,14,27,8,84.2,69.6,14.6,11.37,10.81,13.97,24.78,23,8,74.6,64.9,9.74,-0.65,-5.82,13.27,7.45,0,0.77,0.74,-6,11
"192",1991,4,89,"Alabama","Murray St",79,13,23,10,78.2,72.6,5.61,8.7,4.81,9.49,14.3,24,9,78.6,69.8,8.73,-3.83,-2.7,7.74,5.04,0,0.7,0.73,-10,9
"193",1991,5,71,"Wake Forest","Louisiana Tech",65,12,19,11,80.5,74.9,5.57,8.19,8.62,5.14,13.76,21,10,80.3,72.7,7.61,1.26,5.13,3.74,8.87,0,0.63,0.68,-6,7
"194",1991,6,76,"Pittsburgh","Georgia",68,11,21,12,83.6,76.9,6.7,10.71,12.98,2.99,15.97,17,13,81.7,71.4,10.33,8.42,9.58,8.99,18.56,0,0.64,0.57,-8,5
"195",1991,7,75,"Florida St","USC",72,10,21,11,79.3,75.9,3.38,5.46,5.61,3.22,8.83,19,10,81.3,74.1,7.28,5.9,8.07,5.1,13.17,0,0.66,0.66,-3,3
"196",1992,1,100,"Kansas","Howard",67,16,27,5,84.5,68.1,16.41,9.82,15.65,9.6,25.25,17,14,70.3,72,-1.74,-10.71,-9.64,-2.83,-12.47,0,0.84,0.55,-33,15
"197",1992,2,84,"USC","Louisiana Monroe",54,15,24,6,79.4,73.3,6.07,7.38,8.87,4.07,12.93,19,10,77.8,71.1,6.76,-5.09,-2.61,0.22,-2.4,0,0.8,0.66,-30,13
"198",1992,3,80,"Arkansas","Murray St",69,14,26,8,89.8,76.9,12.94,8.2,17.04,2.16,19.2,17,13,83.8,79.9,3.97,-1.22,7.29,-5.65,1.64,0,0.76,0.57,-11,11
"199",1992,4,85,"Cincinnati","Delaware",47,13,29,5,79,63.1,15.85,5.94,8.73,12.94,21.67,27,4,81.3,70.9,10.35,-9.19,3.08,-2.75,0.33,0,0.85,0.87,-38,9
"200",1992,5,61,"Michigan St","Southwest Missouri St",54,12,22,8,74,69,4.97,12.76,6.63,11.09,17.72,23,8,64.6,56.8,7.81,-1.15,-6.6,12.65,6.05,0,0.73,0.74,-7,7
"201",1992,6,80,"Memphis","Pepperdine",70,11,23,11,74.3,71.2,3.09,9.59,4.89,7.79,12.68,24,7,75.8,67.4,8.45,0.85,1.38,7.64,9.03,0,0.68,0.77,-10,5
"202",1992,7,65,"Georgia Tech","Houston",60,10,23,12,80.4,74.5,5.86,10.64,11.61,4.89,16.49,25,6,77.7,68.8,8.94,4.35,4.45,7.7,12.14,0,0.66,0.81,-5,3
"203",1992,1,83,"Ohio St","Mississippi Valley St",56,16,26,6,80.6,66.8,13.81,10.62,12.73,11.65,24.37,16,14,82.8,81.9,0.9,-9.81,0.87,-9.67,-8.81,0,0.81,0.53,-27,15
"204",1992,2,100,"Oklahoma St","Georgia Southern",73,15,28,8,75.7,63.1,12.61,10.78,5.96,15.57,21.53,25,6,91.5,80.7,10.81,-7.22,10.88,-8.14,2.75,0,0.78,0.81,-27,13
"205",1992,3,80,"Arizona","East Tennessee St",87,14,24,7,84.8,68.8,15.97,8.19,15.6,8.56,24.16,24,7,86.1,77.7,8.45,-1.79,9.25,-2.54,6.71,1,0.77,0.77,7,11
"206",1992,4,68,"North Carolina","Miami Ohio",63,13,23,10,83.5,75.6,7.94,10.16,14.23,3.81,18.04,23,8,68.2,60.9,7.35,2.92,-1.32,9.69,8.37,0,0.7,0.74,-5,9
"207",1992,5,80,"Alabama","Stanford",75,12,26,9,78.2,72,6.17,7.3,6.7,6.83,13.53,18,11,75.7,68,7.72,8.19,6.84,9.07,15.92,0,0.74,0.62,-5,7
"208",1992,6,73,"Michigan","Temple",66,11,25,9,77.9,71.4,6.5,12.29,10.61,8.18,18.79,17,13,70.5,68.7,1.73,8.42,0.02,10.14,10.15,0,0.74,0.57,-7,5
"209",1992,7,57,"St Johns","Tulane",61,10,19,11,71.4,65.1,6.27,9.35,3.42,12.2,15.62,22,9,82.1,73.2,8.94,2.3,10.41,1.39,11.8,1,0.63,0.71,4,3
"210",1992,1,82,"Duke","Campbell",56,16,34,2,88,72.6,15.33,10.21,18.16,6.54,24.71,19,12,69.3,67,2.29,-10.8,-9.63,-0.61,-10.24,0,0.94,0.61,-26,15
"211",1992,2,88,"Kentucky","Old Dominion",69,15,29,7,85.7,74.4,11.28,9.6,16.15,4.7,20.85,15,15,74.7,79.4,-4.73,1.62,2.14,-5.83,-3.7,0,0.81,0.5,-19,13
"212",1992,3,85,"Massachusetts","Fordham",58,14,30,5,82.4,69.6,12.8,4.72,9.57,6.83,16.4,18,13,71.1,67.8,3.26,-2.64,-4.45,5.14,0.69,0,0.86,0.58,-27,11
"213",1992,4,78,"Seton Hall","La Salle",76,13,23,9,74.8,68.8,6.03,8.33,5.4,8.8,14.2,20,11,80.1,72.3,7.87,0.35,8.56,-0.34,8.22,0,0.72,0.65,-2,9
"214",1992,5,89,"Missouri","West Virginia",78,12,21,9,79.4,69.8,9.57,9.69,8.74,9.26,18,20,12,79.8,74.7,5.06,4.94,8.05,1.95,10,0,0.7,0.62,-11,7
"215",1992,6,51,"Syracuse","Princeton",43,11,22,10,74.5,70.6,3.88,7.26,6.95,4.18,11.13,22,6,59,48.2,10.79,-3.58,-16.46,22.81,6.34,0,0.69,0.79,-8,5
"216",1992,7,74,"Charlotte","Iowa St",76,10,23,9,76.6,70.5,6.13,3.8,3.49,5.67,9.16,21,13,81.5,73.3,8.24,8.77,9.94,3.73,13.67,1,0.72,0.62,2,3
"217",1992,1,73,"UCLA","Robert Morris",53,16,28,5,84.4,73.1,11.33,9.82,14.57,5.34,19.91,19,12,74.3,71,3.32,-6.81,-3.39,-0.1,-3.49,0,0.85,0.61,-20,15
"218",1992,2,94,"Indiana","Eastern Illinois",55,15,27,7,83.4,65.8,17.62,12.43,16.21,13.84,30.05,17,14,68.1,68.9,-0.84,-0.69,-5.96,3.6,-2.36,0,0.79,0.55,-39,13
"219",1992,3,78,"Florida St","Montana",68,14,22,10,80.2,75,5.16,8.74,9.47,4.55,14.02,27,4,76.2,64,12.13,-4.23,-1.34,8.76,7.42,0,0.69,0.87,-10,11
"220",1992,4,83,"Oklahoma","Louisiana Lafayette",87,13,21,9,94.6,82,12.63,8.62,21.28,-2.26,19.02,21,11,80.2,75.6,4.66,0.88,6.74,-1.2,5.54,1,0.7,0.66,4,9
"221",1992,5,73,"DePaul","New Mexico St",81,12,20,9,81.1,76.2,4.97,6.7,11.01,0.7,11.7,25,8,78,71.3,6.64,4.28,5.74,4.07,9.81,1,0.69,0.76,8,7
"222",1992,6,75,"Georgetown","South Florida",60,11,22,10,73.2,63.8,9.47,6.15,0.26,11.64,11.9,19,10,76.4,73.6,2.83,3.4,3.85,2.72,6.57,0,0.69,0.66,-15,5
"223",1992,7,94,"LSU","BYU",83,10,21,10,87.5,75.9,11.58,8.64,15.65,4.57,20.22,25,7,80.2,69.6,10.63,3.95,10.7,3.88,14.58,0,0.68,0.78,-11,3
"224",1993,1,96,"Kentucky","Rider",52,16,30,4,87.5,69.8,17.68,9.23,16.77,10.13,26.9,19,11,73.4,70.7,2.67,-8.28,-3.06,-2.55,-5.61,0,0.88,0.63,-44,15
"225",1993,2,81,"Seton Hall","Tennessee St",59,15,28,7,77.9,66.9,10.94,9.07,9.1,10.38,19.48,19,10,78.7,76.1,2.62,-4.56,1.27,-2.4,-1.13,0,0.8,0.66,-22,13
"226",1993,3,82,"Florida St","Evansville",70,14,25,10,86.3,79.7,6.63,11.44,17.84,0.22,18.07,23,7,75,65.3,9.7,-0.88,0.83,8.02,8.84,0,0.71,0.77,-12,11
"227",1993,4,82,"Iowa","Louisiana Monroe",69,13,23,9,78.3,65.4,12.94,8.14,7.85,11.9,19.75,26,5,87.2,74.2,13,-5.08,7.89,-0.24,7.65,0,0.72,0.84,-13,9
"228",1993,5,81,"Wake Forest","Chattanooga",58,12,21,9,77.7,70.2,7.5,9.32,6.9,9.92,16.82,26,7,85.5,72.3,13.18,-3.06,7.54,-0.91,6.63,0,0.7,0.79,-23,7
"229",1993,6,53,"Kansas St","Tulane",55,11,19,11,70.3,67,3.33,6.91,-0.59,10.44,9.85,22,9,75.9,69.5,6.35,2.39,2.75,5.37,8.13,1,0.63,0.71,2,5
"230",1993,7,55,"Western Kentucky","Memphis",52,10,26,6,85.1,71.7,13.44,1.75,10.97,4.24,15.22,20,12,75.1,69.5,5.53,8.73,5.79,6.91,12.7,0,0.81,0.62,-3,3
"231",1993,1,84,"Michigan","Coastal Carolina",53,16,31,5,81.9,71.8,10.11,11.9,14.2,7.81,22.01,22,10,77.8,70.9,6.88,-7.88,-3.81,-0.11,-3.91,0,0.86,0.69,-31,15
"232",1993,2,61,"Arizona","Santa Clara",64,15,24,4,83.6,71.4,12.21,8.28,15.06,5.43,20.5,19,12,68.9,66.4,2.55,0.24,-4.44,5.85,1.41,1,0.86,0.61,3,13
"233",1993,3,92,"Vanderbilt","Boise St",72,14,28,6,83,69.9,13.15,6.4,12.81,7.01,19.81,21,8,75.5,69.7,5.86,-4.28,0.56,-0.21,0.35,0,0.82,0.72,-20,11
"234",1993,4,78,"Georgia Tech","Southern",93,13,19,11,77.7,75.2,2.47,10.39,7.64,5.32,12.95,21,10,97.1,85.5,11.65,-7.48,14.6,-12.59,2,1,0.63,0.68,15,9
"235",1993,5,68,"New Mexico","George Washington",82,12,24,7,69.8,63.2,6.58,3.3,-1.7,10.67,8.97,21,9,76.4,69.1,7.3,4.26,5.13,6.43,11.56,1,0.77,0.7,14,7
"236",1993,6,75,"Illinois","Long Beach St",72,11,19,13,75.9,73.3,2.56,9.27,7.15,4.68,11.83,22,10,78.5,71.1,7.41,2.39,4.81,3.44,8.25,0,0.59,0.69,-3,5
"237",1993,7,75,"Temple","Missouri",61,10,20,13,69.2,66.5,2.7,10.23,2.02,10.9,12.92,19,14,74.3,67.7,6.61,9.11,3.28,10.1,13.38,0,0.61,0.58,-14,3
"238",1993,1,85,"North Carolina","East Carolina",65,16,34,4,86.1,68.3,17.79,11.25,17.21,11.83,29.04,13,17,67.9,69.6,-1.73,0.94,-7.71,5.69,-2.02,0,0.89,0.43,-20,15
"239",1993,2,93,"Cincinnati","Coppin St",66,15,27,5,74.5,58.5,16,6.62,4.88,17.74,22.62,22,8,73.8,66.5,7.33,-11.06,-5,1.28,-3.73,0,0.84,0.73,-27,13
"240",1993,3,54,"Massachusetts","Pennsylvania",50,14,24,7,73,64.1,8.9,5.34,1.02,13.22,14.25,22,5,72.2,62.4,9.78,-3.14,0.43,5.84,6.27,0,0.77,0.81,-4,11
"241",1993,4,94,"Arkansas","Holy Cross",64,13,22,9,86.9,77.5,9.42,8.3,16.08,1.64,17.72,23,7,85.4,77.8,7.63,-5.04,10.89,-8.3,2.59,0,0.71,0.77,-30,9
"242",1993,5,85,"St Johns","Texas Tech",67,12,19,11,75.4,71.7,3.63,9.48,6.83,6.31,13.14,18,12,80.2,77.5,2.67,1.56,5.14,-2.23,2.91,0,0.63,0.6,-18,7
"243",1993,6,78,"Virginia","Manhattan",66,11,21,10,74.2,69.3,4.84,9.76,4.61,9.99,14.6,23,7,73.1,66.9,6.27,-3.05,0.62,2.53,3.15,0,0.68,0.77,-12,5
"244",1993,7,93,"New Mexico St","Nebraska",79,10,26,8,76.9,72.4,4.56,4.11,5.74,2.34,8.08,20,11,80.5,75.7,4.87,5.7,10.28,0.29,10.57,0,0.76,0.65,-14,3
"245",1993,1,97,"Indiana","Wright St",54,16,31,4,86.5,71.6,14.91,11.09,19.16,6.67,25.83,20,10,89.1,78.4,10.73,-5.97,10.95,-7.85,3.1,0,0.89,0.67,-43,15
"246",1993,2,94,"Kansas","Ball St",72,15,29,7,84.4,69.7,14.64,10.88,12.67,9.63,22.3,26,8,71.2,64.3,6.94,-4.68,-2.81,4.13,1.32,0,0.81,0.76,-22,13
"247",1993,3,105,"Duke","Southern Illinois",70,14,24,8,86.4,71.2,15.22,10.76,16.57,9.42,25.98,23,10,77.1,69,8.15,2.14,8.75,0.58,9.33,0,0.75,0.7,-35,11
"248",1993,4,76,"Louisville","Delaware",70,13,22,9,81.1,74,7.1,8.85,9.69,4.96,14.65,22,8,74.8,69,5.8,-5.63,-1.72,1.09,-0.63,0,0.71,0.73,-6,9
"249",1993,5,74,"Oklahoma St","Marquette",62,12,20,9,77.4,69.1,8.38,9.9,5.71,8.9,14.62,20,8,73.8,60.4,13.39,2.29,2.58,13.1,15.68,0,0.69,0.71,-12,7
"250",1993,6,66,"California","LSU",64,11,21,9,79.3,73.8,5.53,7.26,9.54,3.26,12.79,22,11,78.7,73.7,4.97,5.27,6.08,4.17,10.24,0,0.7,0.67,-2,5
"251",1993,7,80,"BYU","SMU",71,10,25,9,81,71.9,9.09,4.09,10.22,2.28,12.5,20,8,81.1,76.1,5.04,3.15,6.35,0.46,6.8,0,0.74,0.71,-9,3
"252",1994,1,76,"Missouri","Navy",53,16,28,4,81,73.8,7.25,8.29,9.47,6.2,15.68,17,13,74.9,73.6,1.37,-8.88,-6.75,-0.79,-7.54,0,0.88,0.57,-23,15
"253",1994,2,81,"Arizona","Loyola Maryland",55,15,29,6,89.3,74.4,14.86,8.9,19.78,3.98,23.76,17,13,78.6,78.7,-0.07,-3.07,2.27,-5.41,-3.14,0,0.83,0.57,-26,13
"254",1994,3,67,"Louisville","Boise St",58,14,28,6,80.2,68.8,11.41,7.41,9.72,9.04,18.77,17,13,72.5,69,3.43,0.21,-4.95,7.05,2.1,0,0.82,0.57,-9,11
"255",1994,4,92,"Syracuse","Hawaii",78,13,23,7,83.9,74.9,8.97,8.83,15.03,2.76,17.8,18,15,72,74.5,-2.52,4.1,0.15,1.44,1.58,0,0.77,0.55,-14,9
"256",1994,5,57,"California","Wisconsin Green Bay",61,12,22,8,78.6,71.5,7.1,7.19,8.2,6.09,14.29,27,7,66.4,55.1,11.35,-1.89,-9.48,18.95,9.47,1,0.73,0.79,4,7
