Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Villanova,Big East,35,5,78,63.6,14.38,9.71,9.92,14.17,24.08,2016
2,Kansas,Big 12,33,5,81.3,67.6,13.66,11.22,14.28,9.59,23.87,2016
3,North Carolina,ACC,33,7,82.8,70,12.75,10.69,16.74,6.7,23.44,2016
4,Michigan State,Big Ten,29,6,79.8,64.1,15.66,6.94,12.25,10.34,22.59,2016
5,Virginia,ACC,29,8,71,60.1,10.92,11.12,4.12,17.92,22.04,2016
6,West Virginia,Big 12,26,9,78.5,66.7,11.83,9.78,10.88,10.73,21.61,2016
7,Louisville,ACC,23,8,75,61.1,13.84,7.74,6.19,15.39,21.57,2016
8,Kentucky,SEC,27,9,79.5,68.1,11.39,8.84,11.92,8.31,20.23,2016
9,Purdue,Big Ten,26,9,77.9,65.2,12.71,7.46,10.01,10.16,20.17,2016
10,Oklahoma,Big 12,29,8,79.7,71.1,8.62,11.14,12.91,6.85,19.76,2016
11,Indiana,Big Ten,27,8,82.6,69.9,12.69,6.9,13.68,5.91,19.59,2016
12,Duke,ACC,25,11,81.1,72.5,8.64,10.59,13.71,5.52,19.23,2016
13,Arizona,Pac-12,25,9,80.4,68.9,11.56,7.23,10.88,7.9,18.79,2016
14,Xavier,Big East,28,6,80.5,70.4,10.15,8.43,12.97,5.6,18.58,2016
15,Miami (FL),ACC,27,8,75.2,67.4,7.83,10.69,8.72,9.8,18.52,2016
16,Texas A&M,SEC,28,9,76.4,66.4,10,8.45,7.66,10.8,18.45,2016
17,Southern Methodist,AAC,25,5,77.3,63.4,13.87,4.56,8.37,10.06,18.42,2016
18,Oregon,Pac-12,31,7,78.7,68.8,9.89,8.64,10.14,7.91,18.05,2016
19,Wichita State,MVC,26,9,72.4,59,13.4,4.24,4,13.39,17.39,2016
20,Vanderbilt,SEC,19,14,75.9,67.4,8.52,8.68,7.45,9.75,17.2,2016
21,Iowa,Big Ten,22,11,77.6,69.3,8.3,8.71,9.8,7.21,17.01,2016
22,Iowa State,Big 12,23,12,81.8,75,6.77,10.16,15.69,1.24,16.93,2016
23,Gonzaga,WCC,28,8,78.9,65.6,13.33,4.23,8.08,8.84,16.92,2016
24,Maryland,Big Ten,27,9,75.7,66.7,9.03,8.31,7.96,8.76,16.71,2016
25,Butler,Big East,22,11,79.9,71,8.91,7.55,11.28,5.18,16.46,2016
26,Baylor,Big 12,22,12,77.1,69.6,7.5,9.76,9.63,6.5,16.13,2016
27,Connecticut,AAC,25,11,73.1,63.5,9.61,6.28,4.41,11.48,15.89,2016
28,Utah,Pac-12,27,9,77.2,69.5,7.67,8.79,7.81,7.69,15.5,2016
29,Pittsburgh,ACC,21,12,75,67.3,7.76,8.75,6.32,9.15,15.47,2016
30,California,Pac-12,23,11,74.9,67.3,7.53,7.87,6.56,8.84,15.39,2016
31,Cincinnati,AAC,22,11,73.3,63.3,9.94,5.25,4.15,11.04,15.19,2016
32,Texas,Big 12,20,13,71.4,68.3,3.09,11.71,4.13,10.67,14.8,2016
33,Florida,SEC,21,15,74.4,68.9,5.5,9.19,6.07,8.62,14.69,2016
34,Seton Hall,Big East,25,9,74.2,67.8,6.38,8.28,6.27,8.39,14.66,2016
35,Syracuse,ACC,23,14,70,65.1,4.86,9.75,2.69,11.93,14.62,2016
36,Notre Dame,ACC,24,12,75.1,70.6,4.53,9.57,7.63,6.47,14.1,2016
37,Virginia Commonwealth,A-10,25,11,77.3,67.8,9.47,4.35,7.19,6.64,13.83,2016
38,Michigan,Big Ten,23,13,73.8,67.4,6.39,7.92,5.59,8.15,13.75,2016
39,Creighton,Big East,20,15,79.6,72.4,7.26,6.44,10.1,3.59,13.69,2016
40,Saint Mary's (CA),WCC,29,6,73.6,60.9,12.69,1.24,1.89,11.71,13.6,2016
41,Southern California,Pac-12,21,13,80.5,74.6,5.88,7.64,11.43,2.1,13.52,2016
42,Wisconsin,Big Ten,22,13,67.8,63.8,4,9.4,-0.13,13.53,13.4,2016
43,Georgia Tech,ACC,21,15,73.3,70.7,2.56,9.95,6.35,6.16,12.51,2016
44,Texas Tech,Big 12,19,13,72,69.9,2.16,10.25,5.06,7.35,12.41,2016
45,Brigham Young,WCC,26,11,83.6,72.8,10.84,2.36,12.03,0.32,12.36,2016
46,Kansas State,Big 12,17,16,70.7,68.2,2.52,9.79,2.85,9.46,12.31,2016
47,Florida State,ACC,20,14,78,74,4,8.16,10.23,1.94,12.16,2016
48,Saint Joseph's,A-10,28,8,77.2,70.1,7.17,4.93,8.31,3.78,12.1,2016
49,Colorado,Pac-12,22,12,75.8,70.8,4.97,7.64,4.93,7.1,12.04,2016
50,Clemson,ACC,17,14,69.6,64.5,5.16,6.87,1.35,10.69,12.03,2016
51,South Carolina,SEC,25,9,76,69.3,6.65,5.83,6.55,5.46,12.01,2016
52,Providence,Big East,24,11,73.6,70.1,3.49,8.46,5.04,6.9,11.94,2016
53,San Diego State,MWC,28,10,68.6,60.6,7.95,4.33,-2.41,14.29,11.89,2016
