Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Arkansas,SEC (West),31,3,93.4,75.6,17.85,7.64,20.21,3.76,23.97,1994
2,Arizona,Pac-10,29,6,89.3,74.4,14.86,8.9,19.78,3.98,23.76,1994
3,North Carolina,ACC,28,7,85.6,72.4,13.23,9.39,16.88,5.74,22.62,1994
4,Connecticut,Big East,29,5,84.9,68.6,16.32,6.26,13.63,8.96,22.58,1994
5,Kentucky,SEC (East),27,7,86.8,74.6,12.21,9.47,15.58,6.16,21.73,1994
6,Purdue,Big Ten,29,5,84.4,73.1,11.38,10,14.26,7.12,21.38,1994
7,Kansas,Big 8,27,8,80.5,68.3,12.14,8.61,9.96,10.74,20.7,1994
8,Duke,ACC,28,6,77.6,67.3,10.29,9,8.85,10.44,19.29,1994
9,Providence,Big East,20,10,79.3,70,9.33,9.91,11.27,7.97,19.24,1994
10,Illinois,Big Ten,17,11,84,74.8,9.21,9.9,12.98,6.14,19.11,1994
11,Minnesota,Big Ten,22,13,74.3,66.1,8.29,10.27,8.63,10.43,19.06,1994
12,Louisville,Metro,28,6,80.2,68.8,11.41,7.41,9.72,9.04,18.77,1994
13,Michigan,Big Ten,24,8,79.8,73.5,6.31,12.15,9.63,8.83,18.46,1994
14,Syracuse,Big East,23,7,83.9,74.9,8.97,8.83,15.03,2.76,17.8,1994
15,Oklahoma State,Big 8,24,10,80.5,68.8,11.74,8.37,7.32,10.33,17.65,1994
16,Georgetown,Big East,19,12,73,65.7,7.35,12.05,2.21,15.18,17.39,1994
17,Temple,A-10,23,8,63.8,54.7,9.03,8.24,-5.71,22.99,17.28,1994
18,Boston College,Big East,23,11,78.2,70,8.15,9.81,7.64,9.14,16.78,1994
19,Massachusetts,A-10,28,7,76.4,65.9,10.49,6.21,5.08,11.62,16.69,1994
20,UCLA,Pac-10,21,7,86.1,76.5,9.54,6.77,14.15,2.16,16.31,1994
21,Florida,SEC (East),29,8,75.1,67.9,7.11,9.08,4.02,12.16,16.19,1994
