Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Villanova,Big East,36,4,86.6,70.2,16.4,10.24,17.8,8.84,26.64,2018
2,Duke,ACC,29,8,84.4,69.6,14.73,9.7,16.41,8.02,24.43,2018
3,Purdue,Big Ten,30,7,80.4,65.7,14.68,8.74,12.91,10.5,23.41,2018
4,Michigan State,Big Ten,30,5,80.2,64.9,15.31,7.1,10.72,11.69,22.41,2018
5,Virginia,ACC,31,3,67.1,54,13.15,9.05,-1.75,23.95,22.2,2018
6,Kansas,Big 12,31,8,81.4,71.9,9.51,11.88,13.58,7.81,21.39,2018
7,Cincinnati,AAC,31,5,74.3,57.5,16.72,3.53,3.05,17.2,20.25,2018
8,North Carolina,ACC,26,11,81.6,73.3,8.3,11.78,15.41,4.66,20.07,2018
9,West Virginia,Big 12,26,11,80.1,69.6,10.51,9.38,12.47,7.42,19.89,2018
10,Texas Tech,Big 12,27,10,74.6,64.8,9.78,9.6,5.29,14.09,19.38,2018
11,Xavier,Big East,29,6,84.4,74.7,9.63,9.43,15.18,3.88,19.06,2018
12,Michigan,Big Ten,33,8,73.6,63.3,10.32,9.41,4.22,14.81,19.03,2018
13,Gonzaga,WCC,32,5,83.5,67.7,15.84,2.6,12.4,6.04,18.44,2018
14,Tennessee,SEC,26,9,73.8,65.7,8.09,10.12,5.78,12.42,18.2,2018
15,Ohio State,Big Ten,25,9,76.2,67.6,8.65,9.02,7.67,10,17.67,2018
16,Kentucky,SEC,26,11,76.8,70.2,6.51,10.73,9.26,7.98,17.24,2018
17,Clemson,ACC,25,10,73.8,65.9,7.91,9.25,4.91,12.25,17.16,2018
18,Butler,Big East,21,14,78.9,72.6,6.37,10.55,9.68,7.24,16.92,2018
19,Florida,SEC,21,13,75.8,69.2,6.59,10.08,8.15,8.52,16.66,2018
20,Wichita State,AAC,25,8,82.8,71.6,11.12,5.46,12.81,3.77,16.58,2018
21,TCU,Big 12,21,12,82.1,75.4,6.7,9.68,13.36,3.02,16.38,2018
22,Creighton,Big East,21,12,83.5,74.1,9.45,8.1,12.82,3.53,16.35,2018
23,Houston,AAC,27,8,76.7,64.9,11.83,4.16,7.34,8.65,15.99,2018
24,Auburn,SEC,26,8,81.9,73.2,8.68,7.29,12.84,3.13,15.97,2018
25,Penn State,Big Ten,26,13,74.7,66.7,8.05,7.79,6.18,9.67,15.85,2018
26,Florida State,ACC,23,12,80.2,72.9,7.29,8.5,12,3.78,15.78,2018
27,Arizona,Pac-12,27,8,80.5,71.7,8.83,6.84,10.25,5.42,15.67,2018
28,Seton Hall,Big East,22,12,79.4,73.9,5.56,10.11,10.68,4.99,15.67,2018
29,Texas A&M,SEC,22,13,75.2,70.5,4.69,10.62,6.36,8.95,15.3,2018
30,Arkansas,SEC,23,12,80.5,75.6,4.91,9.85,11.86,2.91,14.76,2018
31,Baylor,Big 12,19,15,75.6,69.7,5.94,9.17,4.84,9.75,14.6,2018
32,Nevada,MWC,29,8,82.6,73.1,9.51,4.93,12.64,1.8,14.44,2018
33,Arizona State,Pac-12,20,12,82.7,74.8,7.81,6.55,13.8,0.56,14.37,2018
34,Virginia Tech,ACC,21,12,79.8,72.2,7.64,6.71,10.46,3.89,14.35,2018
35,Louisville,ACC,22,14,75.6,70.4,5.22,9.07,7.92,6.37,14.3,2018
36,Texas,Big 12,19,15,72.1,68.8,3.29,10.67,3.68,10.28,13.96,2018
37,Missouri,SEC,20,13,72.7,68.1,4.64,9.19,4.1,9.71,13.81,2018
38,Oklahoma,Big 12,18,14,84.9,81.7,3.25,10.56,17.15,-3.34,13.81,2018
39,Maryland,Big Ten,19,13,73.1,66.9,6.19,7.94,5.37,8.41,13.78,2018
40,Notre Dame,ACC,21,15,74.9,68.6,6.31,7.92,5.61,8.02,13.64,2018
41,NC State,ACC,21,12,81.3,75.1,6.21,6.7,12.67,0.24,12.91,2018
42,Syracuse,ACC,23,14,66.6,63.8,2.86,10.02,-2.38,15.26,12.89,2018
43,Saint Mary's (CA),WCC,30,6,77,64.5,12.53,0.33,5.46,7.4,12.86,2018
44,Kansas State,Big 12,25,12,71.1,67,4.11,8.74,1.46,11.38,12.85,2018
45,Miami (FL),ACC,22,10,73.8,67.9,5.88,6.96,4.56,8.27,12.83,2018
46,Southern California,Pac-12,24,12,77.7,71.2,6.53,6.29,7.62,5.2,12.81,2018
47,Marquette,Big East,21,14,81.3,78.5,2.8,9.7,12.51,-0.01,12.5,2018
48,Oklahoma State,Big 12,21,15,76.6,73.3,3.33,9.12,6.55,5.9,12.45,2018
49,Alabama,SEC,20,16,72.3,70.6,1.69,10.64,4.15,8.19,12.34,2018
50,San Diego State,MWC,22,11,77.1,67.9,9.24,3.91,4.84,7.39,12.23,2018
51,UCLA,Pac-12,21,12,81.2,76,5.21,6.86,11.87,0.2,12.07,2018
52,Rhode Island,A-10,26,8,76,68.8,7.21,4.61,4.97,6.84,11.81,2018
53,Mississippi State,SEC,25,12,73.4,67.8,5.65,6.82,3.79,7.92,11.71,2018
54,Utah,Pac-12,23,12,73.5,68.5,5,6.39,2.78,8.62,11.39,2018
55,Boise State,MWC,23,9,78.2,69.1,9.13,3.05,5.21,6,11.21,2018
56,Providence,Big East,21,14,73.6,72.7,0.89,10.23,3.47,7.65,11.12,2018
57,Western Kentucky,CUSA,27,11,78.4,70.4,8.03,3.64,7.12,3.96,11.08,2018
58,Davidson,A-10,21,12,76.3,67.9,8.45,2.57,5.42,5.61,11.02,2018
59,Nebraska,Big Ten,22,11,72.3,68.6,3.67,7.33,3.69,7.3,10.99,2018
60,Louisiana State,SEC,18,15,77.5,74.6,2.91,8.02,8.35,2.59,10.93,2018
61,Oregon,Pac-12,23,13,78.3,72.4,5.86,4.84,5.7,5,10.7,2018
62,Wisconsin,Big Ten,15,18,66.8,66,0.88,9.5,-1.36,11.74,10.38,2018
63,Loyola (IL),MVC,32,6,71.6,62.6,9.05,1.8,0.65,9.72,10.37,2018
64,Middle Tennessee,CUSA,25,8,75.1,66.3,8.82,2.83,2.37,7.93,10.29,2018
65,St. John's (NY),Big East,16,17,73.1,72.6,0.45,10.69,4.06,6.23,10.29,2018
66,Georgia,SEC,18,15,68.1,66.7,1.36,8.87,-0.7,10.93,10.24,2018
67,Indiana,Big Ten,16,15,71.9,70.3,1.65,8.25,2.91,6.98,9.89,2018
68,Northwestern,Big Ten,15,17,68.8,66.5,2.38,8.37,0.45,9.18,9.63,2018
69,South Carolina,SEC,17,16,70.1,69,1.09,9.23,1.74,7.71,9.45,2018
70,Old Dominion,CUSA,25,7,73.3,62.8,10.53,-1.27,-0.99,10.25,9.27,2018
71,Southern Methodist,AAC,17,16,69.5,64.1,5.42,3.66,-0.03,9.11,9.08,2018
72,New Mexico State,WAC,28,6,75.6,64.2,11.44,-1.1,1.87,7.19,9.06,2018
73,Boston College,ACC,19,16,76.4,74.6,1.8,7.2,7.87,1.13,9,2018
74,St. Bonaventure,A-10,26,8,77.1,70.8,6.26,2.61,5.9,2.97,8.87,2018
75,Vanderbilt,SEC,12,20,72.4,74,-1.63,10.14,4.78,3.73,8.52,2018
76,Illinois,Big Ten,14,18,75.8,73.8,2,7.53,7.21,1.29,8.5,2018
77,Fresno State,MWC,21,11,76.8,68.8,8.06,1.84,2.64,5.53,8.17,2018
78,Iowa,Big Ten,14,19,79.7,78.7,1,7.13,10.7,-2.58,8.13,2018
79,Stanford,Pac-12,19,16,75.9,74.9,0.94,7.14,5.37,2.71,8.08,2018
80,Brigham Young,WCC,24,11,74.3,67.8,6.51,1.53,2.21,5.83,8.05,2018
81,Buffalo,MAC (East),27,9,84.6,76.2,8.47,0.25,11.64,-3.66,7.99,2018
82,Wake Forest,ACC,11,20,73.3,74.4,-1.03,8.79,5.71,2.05,7.76,2018
83,Washington,Pac-12,21,13,74.6,73,1.59,6.06,4.03,3.58,7.62,2018
84,Louisiana,Sun Belt,27,7,83.2,70.8,12.38,-2.55,7.31,0.27,7.58,2018
85,Oregon State,Pac-12,16,16,73.1,70.3,2.75,4.56,1.06,6.25,7.31,2018
86,Temple,AAC,17,16,69.9,70.5,-0.55,7.79,2.27,4.97,7.25,2018
87,Nevada-Las Vegas,MWC,20,13,83.4,78.1,5.33,1.87,11.13,-3.92,7.2,2018
88,Georgetown,Big East,15,15,78.3,76.5,1.87,5.29,7.37,-0.21,7.16,2018
89,Minnesota,Big Ten,15,17,75.2,75.1,0.09,6.91,6.43,0.58,7,2018
90,Iowa State,Big 12,13,18,72.8,75.5,-2.61,9.49,4.91,1.97,6.88,2018
91,Murray State,OVC,26,6,78.6,66.2,12.44,-3.53,2.89,3.99,6.87,2018
92,Mississippi,SEC,12,20,75.8,78.1,-2.31,9.16,7.96,-1.11,6.85,2018
93,South Dakota State,Summit,28,7,84.5,74.3,10.26,-0.38,8.68,-1.84,6.84,2018
94,DePaul,Big East,11,20,71.9,73.8,-1.9,8.45,1.67,4.88,6.55,2018
95,Montana,Big Sky,26,8,77.2,68.5,8.71,-2.24,2.31,3.97,6.29,2018
96,South Dakota,Summit,26,9,80.9,68.7,12.23,-2.6,3.65,2.53,6.17,2018
97,Colorado,Pac-12,17,15,72.1,73,-0.94,7,0.75,5.32,6.06,2018
98,New Mexico,MWC,19,15,82.2,77.7,4.53,3.3,8.6,-2.78,5.81,2018
99,Belmont,OVC,24,9,77.6,69.2,8.42,-2.88,3.25,2.29,5.54,2018
100,Rutgers,Big Ten,15,19,65.2,64.8,0.35,6.84,-4.68,10.18,5.5,2018
101,Georgia Tech,ACC,13,19,65.7,67.9,-2.22,7.46,-2.91,8.15,5.25,2018
102,Utah Valley,WAC,23,11,78.1,67.9,10.21,-1.76,3.28,1.8,5.08,2018
103,Tulsa,AAC,19,12,73.5,70.9,2.58,2.38,2.19,2.77,4.96,2018
104,UAB,CUSA,20,13,76.8,69.8,7.06,-0.65,2.82,2.08,4.9,2018
105,Vermont,AEC,27,8,73.9,65.1,8.86,-3.16,-0.07,4.97,4.9,2018
106,Northern Kentucky,Horizon,22,10,77.7,66,11.69,-4.07,0.73,4.09,4.83,2018
