Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,North Carolina,ACC,34,4,89.8,72,17.84,8.35,23.85,1.6,25.46,2009
2,Connecticut,Big East,31,5,78.3,64.3,14.06,8.57,13.22,8.96,22.17,2009
3,Pittsburgh,Big East,31,5,77.4,64.4,12.97,8.61,12.17,9.04,21.21,2009
4,Memphis,CUSA,33,4,75.1,58.8,16.3,4.63,8.53,12.4,20.92,2009
5,Louisville,Big East,31,6,74.3,61.8,12.46,8.41,8.93,11.93,20.87,2009
6,Duke,ACC,30,7,77.5,65.9,11.57,9.07,11.97,8.12,20.1,2009
7,Missouri,Big 12,31,7,81.5,67.7,13.82,6.72,15.46,4.1,19.56,2009
8,UCLA,Pac-10,26,9,75.5,64,11.46,7.19,11.55,7.1,18.64,2009
9,West Virginia,Big East,23,12,72,61.8,10.23,8.34,7.32,11.26,18.57,2009
10,Oklahoma,Big 12,30,6,78.7,67.5,11.19,6.88,12.69,5.38,18.07,2009
11,Kansas,Big 12,27,8,76.4,65.4,10.97,7.9,10.34,7.68,18.02,2009
12,Gonzaga,WCC,28,6,78.9,63,15.94,3.55,12.22,5.74,17.95,2009
13,Michigan State,Big Ten,31,7,72,63.7,8.34,9.37,9.33,8.39,17.71,2009
14,Villanova,Big East,30,8,76.8,67.4,9.45,8.72,10.87,6.59,17.45,2009
15,Syracuse,Big East,28,10,80.2,71.7,8.45,9.48,16.69,0.54,17.24,2009
16,Washington,Pac-10,26,9,78.6,69.5,9.11,8.19,14.93,1.85,16.78,2009
17,Arizona State,Pac-10,25,10,69.4,60.5,8.89,7.82,4.72,11.98,16.7,2009
18,Purdue,Big Ten,27,10,69.1,59.8,9.27,7.17,6.57,9.87,16.44,2009
19,Wake Forest,ACC,24,7,81,70.7,10.23,7.36,14.58,1.06,15.63,2009
20,Clemson,ACC,23,9,78.3,68,10.31,6.59,12.43,3.13,15.56,2009
21,Brigham Young,MWC,25,8,77.1,65.2,11.94,4.15,11.73,3.39,15.12,2009
22,Marquette,Big East,25,10,78.3,69.5,8.77,7.87,12.58,2.48,15.06,2009
23,Texas,Big 12,23,12,72.3,65.6,6.74,8.09,6.31,8.52,14.83,2009
24,Xavier,A-10,27,8,71.7,61.9,9.8,4.65,6.01,8.44,14.45,2009
25,Georgetown,Big East,16,15,69.3,63.9,5.42,8.97,5.15,9.25,14.39,2009
26,Illinois,Big Ten,24,10,64.8,57.2,7.65,6.73,1.32,13.06,14.38,2009
27,Southern California,Pac-10,22,13,68.5,63.5,4.94,9.15,3.36,10.74,14.09,2009
28,Oklahoma State,Big 12,23,12,80.9,74.5,6.34,7.44,14.62,-0.84,13.78,2009
29,Tennessee,SEC (East),21,13,78.4,72.5,5.88,7.71,11.93,1.67,13.6,2009
30,California,Pac-10,22,11,74.9,68.8,6.09,7.21,11.18,2.12,13.3,2009
31,Florida,SEC (East),25,11,77.1,67.4,9.64,3.88,8.71,4.11,12.83,2009
32,Kentucky,SEC (East),22,14,74.1,66.3,7.86,4.82,5.69,7,12.69,2009
33,Utah,MWC,24,10,71.2,64.6,6.65,5.72,5.36,7.24,12.59,2009
34,Baylor,Big 12,24,15,76,70.1,5.97,7.93,9.87,2.66,12.54,2009
35,Ohio State,Big Ten,22,11,66.8,62,4.85,8.23,4.13,8.35,12.48,2009
36,Wisconsin,Big Ten,20,13,63.8,59,4.79,8.43,0.85,11.58,12.43,2009
37,Notre Dame,Big East,21,15,75.8,70.7,5.08,8.7,10.89,1.37,12.26,2009
38,Kansas State,Big 12,22,12,75.2,66.6,8.53,5.24,8.22,3.96,12.18,2009
39,Michigan,Big Ten,21,14,66.9,63.2,3.66,9.74,4.72,7.18,11.9,2009
40,Arizona,Pac-10,21,14,72.3,69.2,3.09,8.8,9.13,2.75,11.88,2009
41,Louisiana State,SEC (West),27,8,74.8,66.2,8.6,3.27,6.87,5,11.87,2009
42,Miami (FL),ACC,19,13,72.7,66.3,6.31,9.04,5.72,6.05,11.76,2009
43,San Diego State,MWC,26,10,67.1,59.6,7.47,4.74,1.13,10.41,11.54,2009
