Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Oklahoma,Big 8,35,4,102.9,81,21.87,7.61,32.99,-3.51,29.48,1988
2,Arizona,Pac-10,35,3,85.1,64.2,20.92,8.45,14.44,14.52,28.95,1988
3,Duke,ACC,28,7,83.8,68.8,14.94,8.38,14.74,8.59,23.33,1988
4,Syracuse,Big East,26,9,84.7,70.5,14.26,8.55,15.14,7.52,22.66,1988
5,Michigan,Big Ten,26,8,87.4,73.8,13.68,9.06,17.17,5.25,22.42,1988
6,Purdue,Big Ten,29,4,84.6,71.5,13.03,8.86,14.92,6.91,21.83,1988
7,Iowa,Big Ten,24,10,93.6,81.4,12.12,9.76,24.65,-2.87,21.79,1988
8,Illinois,Big Ten,23,10,82.6,70.9,11.67,9.82,13.21,8.33,21.54,1988
9,North Carolina,ACC,27,7,82.1,73.2,8.85,10.72,11.86,7.65,19.52,1988
10,Kentucky,SEC,27,6,79.6,68.8,10.88,8.87,11.05,7.86,18.9,1988
11,Temple,A-10,32,2,76.8,61.2,15.62,2.99,4.45,14.17,18.61,1988
12,Missouri,Big 8,19,11,87,78.2,8.8,9.13,13.92,3.88,17.8,1988
13,Indiana,Big Ten,19,10,78.8,70.9,7.83,9.66,9.39,8.1,17.48,1988
14,NC State,ACC,24,7,85.7,74.1,11.61,6.53,12.31,5.02,17.34,1988
15,Nevada-Las Vegas,PCAA,28,6,84.3,68.2,16.12,5.64,9.84,7.37,17.22,1988
16,Pittsburgh,Big East,24,7,79.8,71,8.81,8.15,10.88,6.08,16.96,1988
17,Louisville,Metro,24,11,82.7,76.2,6.43,9.79,10.49,5.47,15.96,1988
18,Kansas State,Big 8,25,9,75.4,68,7.44,10.14,3.31,12.49,15.79,1988
19,Kansas,Big 8,27,11,75.3,67.9,7.42,10.77,2.54,13.17,15.71,1988
20,Wyoming,WAC,26,6,78.3,66.7,11.59,3.7,7.29,7.38,14.67,1988
21,Seton Hall,Big East,22,13,79.1,71.5,7.57,7.42,9.39,5.2,14.59,1988
22,Florida,SEC,23,12,73.1,68.1,5.06,9.29,4.31,10.04,14.34,1988
23,Georgetown,Big East,20,10,71.9,62.4,9.5,8.43,0.14,14.03,14.17,1988
24,Auburn,SEC,19,11,77.4,72,5.4,9.25,7.69,6.38,14.07,1988
25,Georgia Tech,ACC,22,10,81.7,74,7.72,7.43,10.17,3.8,13.96,1988
26,Villanova,Big East,24,13,71.9,68.6,3.24,10.54,2.94,10.98,13.92,1988
27,Vanderbilt,SEC,20,11,78.7,72.8,5.94,7.94,10.11,3.77,13.88,1988
28,Brigham Young,WAC,26,6,85.5,76.2,9.31,4.08,15.76,-2.36,13.39,1988
29,Bradley,MVC,26,5,92.5,81.3,11.26,1.53,19.74,-6.75,12.99,1988
30,Loyola Marymount,WCAC,28,4,110.3,97.2,13.06,1.44,37.04,-24.08,12.96,1988
31,Iowa State,Big 8,20,12,90.2,84.3,5.88,7.52,18.45,-5.77,12.68,1988
32,Notre Dame,Ind,20,9,73,63.3,9.66,3.07,0.39,11.9,12.28,1988
33,UCLA,Pac-10,16,14,80.5,75.3,5.13,7.08,12.02,0.2,12.22,1988
34,DePaul,Ind,22,8,78.9,70.1,8.8,3.23,6.83,5.2,12.03,1988
35,St. John's (NY),Big East,17,12,71.3,68.4,2.9,9.13,1.91,10.01,11.93,1988
36,Maryland,ACC,18,13,75.8,71.8,3.97,8.75,6.75,5.16,11.91,1988
37,Boise State,Big Sky,24,6,69.3,56.3,12.97,-0.52,-3.11,14.95,11.84,1988
38,Florida State,Metro,19,11,84.3,76.3,7.93,3.71,7.86,3.95,11.81,1988
39,Utah State,PCAA,21,10,83.6,78.1,5.55,5.93,13.39,-1.91,11.48,1988
40,Stanford,Pac-10,21,12,78.1,72.8,5.33,6.19,7.93,3.42,11.35,1988
41,Arkansas,SWC,21,9,75.5,64.9,10.6,0.61,4.7,6.49,11.18,1988
42,Southern Methodist,SWC,28,7,82.3,71.8,10.43,0.47,10.72,0.4,11.12,1988
43,Oregon State,Pac-10,20,11,67.5,63,4.55,6.11,-2.91,13.89,10.98,1988
44,Louisiana State,SEC,16,14,70.4,69.1,1.37,9.22,1.23,9.73,10.95,1988
45,Virginia Tech,Metro,19,10,91.2,85.4,5.79,5.09,19.11,-8.23,10.88,1988
46,Georgia,SEC,20,16,73.4,69.6,3.83,7.61,3.97,6.55,10.52,1988
47,Memphis,Metro,20,12,78.4,74.6,3.84,6.34,5.85,4.33,10.18,1988
48,UTEP,WAC,23,10,70.3,63.5,6.85,3.9,-1.01,11.14,10.13,1988
49,Rhode Island,A-10,28,7,86.5,76.8,9.71,0.22,13.9,-3.98,9.92,1988
50,UC Santa Barbara,PCAA,22,8,71.7,67.9,3.87,6.11,1.05,8.78,9.84,1988
51,Xavier,MW Coll,26,4,94.7,79.5,15.17,-4.2,18.46,-8.62,9.84,1988
52,Utah,WAC,19,11,66.4,61.2,5.2,4.39,-4.09,13.34,9.26,1988
53,Clemson,ACC,14,15,74.3,72,2.34,6.87,2.11,7.1,9.21,1988
54,Southern Mississippi,Metro,19,11,90.7,86.3,4.37,5.24,19.15,-10.05,9.1,1988
55,Boston College,Big East,18,15,75.3,71.7,3.58,6.07,3.83,5.17,9.01,1988
56,Ohio State,Big Ten,20,13,75.9,74.9,0.97,8.61,5.17,3.78,8.95,1988
57,Connecticut,Big East,20,14,69.8,65.9,3.97,4.95,-1.28,10.2,8.92,1988
58,Colorado State,WAC,22,13,62.9,57.3,5.57,4.55,-7.81,16.7,8.89,1988
59,New Mexico,WAC,22,14,75.7,72.3,3.33,6.11,4.87,4.02,8.88,1988
60,Virginia,ACC,13,18,66.8,67.5,-0.61,9.6,-3.69,12.33,8.64,1988
61,South Carolina,Metro,19,10,75.5,71.8,3.69,5.18,0.68,7.68,8.36,1988
62,Evansville,MW Coll,21,8,81.9,73.2,8.69,-0.13,6.72,1.5,8.21,1988
63,Tennessee,SEC,16,13,73.2,71.7,1.52,6.97,3.88,4.23,8.11,1988
64,Cal State Long Beach,PCAA,17,12,81.9,78.3,3.55,6.64,8.95,-1.24,7.71,1988
65,New Mexico State,PCAA,16,16,70.6,65.4,5.22,4.65,-3.15,10.7,7.55,1988
66,Wichita State,MVC,20,10,75.4,69.2,6.13,2.01,2.55,4.94,7.49,1988
67,Missouri State,Mid-Cont,22,7,71.9,63.8,8.14,0.16,-3.21,10.59,7.38,1988
68,Cal State Fullerton,PCAA,12,17,67.6,65.4,2.21,4.53,-4.5,11.24,6.74,1988
69,Oklahoma State,Big 8,14,16,72.8,73.2,-0.43,7.83,2.68,3.92,6.61,1988
70,Santa Clara,WCAC,20,11,73.8,69.4,4.35,2.56,-1.99,8.41,6.42,1988
71,Baylor,SWC,23,11,70.4,65.4,4.94,1.75,-1.61,7.88,6.27,1988
72,West Virginia,A-10,18,14,70.5,66,4.53,2.75,-3.27,9.46,6.19,1988
73,New Orleans,ASC,21,11,76.9,69.1,7.84,-1.13,3.33,2.76,6.09,1988
74,Pepperdine,WCAC,17,13,81.9,80.3,1.57,4.37,9.08,-3.11,5.97,1988
75,Saint Mary's (CA),WCAC,19,9,65.6,65.7,-0.11,2.35,-9.47,15.36,5.89,1988
76,La Salle,MAAC,24,10,77.4,69.6,7.82,-1.58,2.83,2.74,5.57,1988
77,Virginia Commonwealth,Sun Belt,23,12,79.2,74,5.2,0.89,4.79,0.72,5.51,1988
78,Michigan State,Big Ten,10,18,69.5,73.7,-4.21,9.21,-0.73,5.91,5.17,1988
79,Cleveland State,Mid-Cont,22,8,84,76.2,7.77,-1.44,11.86,-6.78,5.08,1988
80,Oregon,Pac-10,16,14,67.6,68.2,-0.63,6.61,-2.1,7.13,5.03,1988
81,Mississippi,SEC,13,16,68.1,70.2,-2.14,9.07,0.19,4.77,4.96,1988
82,Minnesota,Big Ten,10,18,72.3,75.6,-3.36,8.21,3.08,1.77,4.85,1988
83,Houston,SWC,18,13,72.8,70.7,2.1,2.6,2.62,2.15,4.77,1988
84,Little Rock,TAAC,24,7,77.9,71.5,6.39,-1.96,3.97,0.66,4.63,1988
85,Murray State,OVC,22,9,76.3,68.2,8.1,-0.97,-1.23,5.83,4.61,1988
86,Charlotte,Sun Belt,22,9,78.7,75.3,3.35,0.61,4.71,-0.72,3.99,1988
87,Alabama,SEC,14,17,66.3,68.5,-2.23,6.21,-3.3,7.28,3.98,1988
88,Richmond,CAA,26,7,69.4,65.9,3.45,-0.11,-4.34,8.3,3.95,1988
89,Illinois State,MVC,18,13,69.7,69.1,0.61,3.47,-4.33,8.21,3.88,1988
90,Arizona State,Pac-10,13,16,76.8,79.1,-2.38,6.26,8.64,-4.85,3.8,1988
91,UTSA,TAAC,22,9,79.6,73.8,5.84,-0.75,5.05,-1.3,3.75,1988
92,Arkansas State,ASC,21,14,67,62.5,4.49,1.25,-6.97,10.6,3.63,1988
93,Georgia Southern,TAAC,24,7,63.9,55.6,8.23,-3.25,-13.17,16.7,3.53,1988
94,UAB,Sun Belt,16,15,72.9,69.8,3.06,1.5,-1.22,4.72,3.5,1988
95,UC Irvine,PCAA,16,14,82.4,84.8,-2.37,5.74,10.31,-6.94,3.37,1988
96,Wisconsin,Big Ten,12,16,69,74.4,-5.39,8.7,-1.73,5.04,3.3,1988
97,Washington State,Pac-10,13,16,60.7,63.3,-2.55,5.81,-8.94,12.2,3.26,1988
98,Providence,Big East,11,17,76.5,82.5,-5.96,9.23,7.23,-4.1,3.12,1988
99,Marshall,Southern,24,8,83.8,75.8,8,-4.93,6.99,-3.92,3.07,1988
100,Louisiana Tech,ASC,22,9,69.7,65.6,4.06,-0.52,-2.98,6.03,3.05,1988
101,San Jose State,PCAA,14,15,72.1,73.3,-1.21,6.13,0.04,2.95,2.98,1988
102,Akron,Ind,21,7,79.6,67.6,12,-6.75,0.6,2.33,2.93,1988
103,North Carolina A&T,MEAC,26,3,81.4,67.5,13.9,-11.29,2.86,-0.04,2.83,1988
104,Wake Forest,ACC,10,18,72.4,76.6,-4.29,6.84,2.6,0.02,2.63,1988
105,Eastern Kentucky,OVC,18,11,80,72.9,7.07,-2.83,4.32,-1.71,2.61,1988
106,Cincinnati,Metro,11,17,81,83.3,-2.29,5.47,7.16,-4.61,2.55,1988
107,Austin Peay,OVC,17,13,77.2,75.3,1.9,1.68,2.39,0.07,2.46,1988
108,Drake,MVC,14,14,73.6,71,2.61,0.76,-2.09,4.29,2.21,1988
109,Fresno State,PCAA,9,19,66.2,68.6,-2.43,4.81,-5.21,7.05,1.84,1988
110,Montana State,Big Sky,19,11,74.9,68.8,6.13,-1.21,0.92,0.75,1.68,1988
111,Eastern Michigan,MAC,22,8,82.6,77.3,5.27,-1.82,5.88,-4.26,1.63,1988
112,Mississippi State,SEC,14,15,62.3,65,-2.66,6.35,-9.34,10.95,1.61,1988
113,Washington,Pac-10,10,19,70.1,74.9,-4.83,6.41,1.37,0.22,1.59,1988
114,Louisiana-Monroe,Southland,21,9,75.1,68.7,6.43,-4.76,0.58,0.93,1.51,1988
115,Nebraska,Big 8,13,18,71.2,75.1,-3.87,6.83,-1.28,2.76,1.49,1988
116,North Texas,Southland,17,13,76.1,74,2.13,-1.34,2.41,-0.95,1.46,1988
117,Saint Louis,MW Coll,14,14,67.8,66.3,1.5,-0.47,-7.7,9.05,1.35,1988
118,Central Michigan,MAC,19,13,74.5,70.2,4.34,-2.16,-2.2,3.54,1.34,1988
119,Middle Tennessee,OVC,23,11,81.3,76.4,4.91,-0.59,4.82,-3.5,1.31,1988
120,Southern,SWAC,24,7,95.6,85.4,10.26,-7.49,14.9,-13.6,1.3,1988
121,Tulsa,MVC,8,20,66.7,69.8,-3.07,4.26,-5.95,7.14,1.19,1988
122,Old Dominion,Sun Belt,18,12,76.8,75.9,0.9,0.4,3.39,-2.38,1.02,1988
123,Green Bay,Mid-Cont,18,9,64.5,60.8,3.67,-1.75,-11.53,12.5,0.97,1988
124,Princeton,Ivy,17,9,64.8,56.4,8.42,-5.79,-12.95,13.9,0.96,1988
125,Southern Illinois,MVC,12,16,83.6,84.5,-0.89,2.16,11.47,-10.6,0.87,1988
126,Penn State,A-10,13,14,67.6,65,2.59,1.05,-8.25,8.97,0.73,1988
127,Northwestern,Big Ten,7,21,64.4,72.9,-8.43,10.21,-5.59,6.22,0.63,1988
128,Boston University,ECACN,23,8,77.5,70.1,7.42,-7.04,1.17,-0.79,0.38,1988
129,San Diego State,WAC,12,17,67.9,71.4,-3.55,4.31,-3.03,3.27,0.23,1988
130,Eastern Illinois,Mid-Cont,17,11,77.3,69.8,7.5,-1.5,-0.23,0.44,0.21,1988
131,Lamar,ASC,20,11,71.8,67.5,4.32,-2.11,-3.35,3.51,0.16,1988
132,Siena,ECACN,23,6,82.3,72.9,9.48,-9.3,4.76,-4.6,0.16,1988
133,Miami (FL),Ind,17,14,79.1,77.4,1.71,-0.84,5.15,-5.3,-0.15,1988
134,Saint Joseph's,A-10,15,14,68.6,70.1,-1.59,1.36,-3.6,3.38,-0.23,1988
