Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Gonzaga,WCC,33,4,87.6,64.9,22.78,5.01,18.57,9.22,27.79,2019
2,Duke,ACC,32,6,82.7,67.8,14.92,11.98,17.48,9.41,26.9,2019
3,Virginia,ACC,35,3,71.4,56.1,15.32,10.15,5.08,20.38,25.46,2019
4,Michigan State,Big Ten,32,7,77.6,65,12.59,12.34,12.94,11.99,24.93,2019
5,North Carolina,ACC,29,7,85.8,73.2,12.58,11.35,19.81,4.12,23.94,2019
6,Texas Tech,Big 12,31,7,72.8,59.5,13.26,9.53,5.95,16.84,22.79,2019
7,Michigan,Big Ten,30,7,69.6,58.3,11.27,10.55,4.23,17.6,21.82,2019
8,Tennessee,SEC,31,6,82,69.7,12.3,10.16,14.69,6.86,21.55,2019
9,Kentucky,SEC,30,7,75.8,64.7,11.14,10.29,8.31,13.12,21.43,2019
10,Purdue,Big Ten,26,10,76.7,67.3,9.42,11.99,12.29,9.11,21.4,2019
11,Auburn,SEC,30,10,79.7,68.8,10.95,10.92,13.12,7.72,20.84,2019
12,Virginia Tech,ACC,26,9,73.5,62.1,11.49,7.79,6.5,12.79,19.28,2019
13,Houston,AAC,33,4,75.3,61,14.3,4.61,6.31,12.6,18.91,2019
14,Kansas,Big 12,26,10,75.7,70.1,5.56,12.79,10.88,7.47,18.35,2019
15,Iowa State,Big 12,23,12,76.9,68.1,8.77,9.3,10.5,7.57,18.07,2019
16,Florida State,ACC,29,8,74.9,67.2,7.73,10.26,8.69,9.31,17.99,2019
17,Wisconsin,Big Ten,23,11,68.6,61.7,6.88,11.01,2.77,15.13,17.9,2019
18,Louisville,ACC,20,14,74.6,68.4,6.24,11.04,8.4,8.88,17.28,2019
19,Louisiana State,SEC,28,7,80.4,73.1,7.34,9.16,13.87,2.63,16.5,2019
20,Texas,Big 12,21,16,71,66.4,4.59,11.46,4.65,11.4,16.06,2019
21,Maryland,Big Ten,23,11,71.4,65.5,5.91,10.09,5.58,10.43,16.01,2019
22,Nevada,MWC,29,5,80.1,66.8,13.32,2.68,9.4,6.61,16,2019
23,Mississippi State,SEC,23,11,77.3,70.4,6.88,9.07,10.03,5.93,15.96,2019
24,Buffalo,MAC (East),32,4,84.4,70.8,13.53,2.62,14.35,1.22,15.56,2019
