Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,North Carolina,ACC,32,4,91.3,74.9,16.39,8.71,21.94,2.54,24.48,1987
2,Nevada-Las Vegas,PCAA,37,2,92.6,75.5,17.1,6.09,23.09,0.02,23.11,1987
3,Indiana,Big Ten,30,4,82.5,70.9,11.59,9.1,13.88,6.82,20.69,1987
4,Iowa,Big Ten,30,5,87.3,74.4,12.89,7.98,15.8,4.79,20.59,1987
5,Florida,SEC,23,11,84.2,71.9,12.35,8.16,15.83,4.54,20.37,1987
6,Alabama,SEC,28,5,80,69.9,10.12,8.98,12.33,7.08,19.41,1987
7,Purdue,Big Ten,25,5,81.7,70.6,11.07,8.11,12.02,6.12,18.14,1987
8,Illinois,Big Ten,23,8,80.3,70.4,9.87,8.66,10.38,7.67,18.05,1987
9,Syracuse,Big East,31,7,82.8,72.8,9.97,8.23,13,4.98,17.98,1987
10,Georgetown,Big East,29,5,77.8,64.2,13.53,8.02,5.39,11.8,17.19,1987
11,Duke,ACC,24,9,77.2,67.3,9.88,7.17,7.64,9.18,16.82,1987
12,Oklahoma,Big 8,24,10,89.1,80.1,8.94,7.89,20.42,-3.63,16.8,1987
13,Pittsburgh,Big East,25,8,84.3,72.8,11.52,7.26,14.6,2,16.6,1987
14,Clemson,ACC,25,6,86.1,71.5,14.61,3.55,15.99,0.59,16.59,1987
15,DePaul,Ind,28,3,76.2,62.5,13.68,2.66,6.75,9.55,16.31,1987
16,Providence,Big East,25,9,86.6,77.1,9.41,5.47,17.06,-1.94,15.11,1987
17,Michigan,Big Ten,20,12,88.2,79.3,8.84,8.74,16.86,-1.82,15.04,1987
18,Ohio State,Big Ten,20,13,84.9,77.9,6.97,8.48,14.94,-0.28,14.67,1987
19,Memphis,Metro,26,8,75,65.4,9.62,4.3,3.95,9.94,13.89,1987
20,Auburn,SEC,18,13,79.9,75,4.94,8.95,12.11,1.77,13.88,1987
21,Virginia,ACC,21,10,74.2,68.4,5.84,7.77,4.32,9.29,13.61,1987
22,Tennessee,SEC,14,15,75.9,70.1,5.79,7.79,8.05,5.53,13.58,1987
23,Arizona,Pac-10,18,12,75.6,68.8,6.8,6.63,6.55,6.94,13.49,1987
24,Kansas,Big 8,25,11,73.7,67.7,6,7.71,3.99,9.35,13.33,1987
25,Temple,A-10,32,4,74.9,64.7,10.22,2.9,3.41,9.77,13.18,1987
26,UCLA,Pac-10,25,7,77.9,71.7,6.19,6.87,10.86,2.2,13.05,1987
27,Western Kentucky,Sun Belt,29,9,78.7,67.9,10.74,2.45,7.43,5.48,12.91,1987
28,TCU,SWC,24,7,70.9,63.6,7.26,5.66,3.47,9.35,12.83,1987
29,St. John's (NY),Big East,21,9,69.8,64.6,5.17,7.26,-0.76,13.22,12.46,1987
