Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,North Carolina,ACC,31,7,85.7,68.6,17.11,9.3,20.55,5.85,26.41,2007
2,Florida,SEC (East),35,5,79.8,62.6,17.23,7.34,13.68,10.15,23.82,2007
3,Kansas,Big 12,33,5,78.4,61.7,16.68,6.86,12.51,10.11,22.62,2007
4,Ohio State,Big Ten,35,4,74.5,62,12.51,9.03,10.98,10.56,21.54,2007
5,Texas A&M,Big 12,27,7,75.6,59.4,16.15,5.13,9.34,11.94,21.27,2007
6,UCLA,Pac-10,30,6,71.4,59.9,11.44,9.84,6.24,14.66,20.9,2007
7,Memphis,CUSA,33,4,78.9,63.1,15.81,3.91,11.61,8.11,19.72,2007
8,Georgetown,Big East,30,7,69.1,58,11.05,9.48,5.08,14.54,19.62,2007
9,Wisconsin,Big Ten,30,6,70.2,57.9,12.33,6.95,6.68,12.6,19.28,2007
10,Maryland,ACC,25,9,79,67.5,11.47,7.59,13.58,5.48,19.06,2007
11,Duke,ACC,22,11,70.4,62,8.36,10.49,5.87,12.98,18.85,2007
12,Georgia Tech,ACC,20,12,78.6,69.4,9.16,9.36,12.37,4.8,17.17,2007
13,Kentucky,SEC (East),22,12,73.4,67.7,5.71,11.41,9.83,7.29,17.12,2007
14,Pittsburgh,Big East,29,8,71.3,62.8,8.46,8.53,6.74,10.25,16.99,2007
15,Notre Dame,Big East,24,8,81,68,13,4.97,15.72,1.22,16.94,2007
16,Indiana,Big Ten,21,11,70.2,61.8,8.44,8.35,8,8.78,16.78,2007
17,Michigan State,Big Ten,23,12,65,57.2,7.86,8.45,1,15.3,16.3,2007
18,Arizona,Pac-10,20,11,78,72.5,5.48,10.76,14.69,1.55,16.24,2007
19,Villanova,Big East,22,11,72.5,64.6,7.88,9.16,7.41,8.73,16.13,2007
20,Louisville,Big East,24,10,71.6,63.1,8.5,7.69,5.98,10.11,16.08,2007
21,Oregon,Pac-10,29,8,75.9,66.2,9.65,6.3,10.84,5.11,15.95,2007
22,Texas,Big 12,25,10,81.7,72.2,9.49,6.12,14.84,0.77,15.6,2007
23,Clemson,ACC,25,11,73.2,65.7,7.53,7.82,7.17,8.18,15.35,2007
24,Mississippi State,SEC (West),21,14,76.9,68.5,8.4,6.91,10.93,4.38,15.31,2007
25,Air Force,MWC,26,9,69,56,12.97,3.34,0.11,15.09,15.19,2007
26,Tennessee,SEC (East),24,11,80.9,75.1,5.83,9.15,15.77,-0.8,14.97,2007
27,Purdue,Big Ten,22,12,69.9,63.4,6.53,8.89,6,8.65,14.65,2007
28,West Virginia,Big East,27,9,72.5,62.4,10.14,5.43,6.14,8.29,14.43,2007
29,Virginia Tech,ACC,22,12,71.4,64.1,7.26,8.26,4.69,9.66,14.35,2007
30,Butler,Horizon,29,7,67.6,57.1,10.5,3.94,1.44,12.9,14.34,2007
31,Illinois,Big Ten,23,12,64.1,57.1,7.09,7.09,-0.04,14.22,14.18,2007
32,Xavier,A-10,25,9,76.3,65.5,10.79,3.39,9.86,4.32,14.18,2007
33,Florida State,ACC,22,13,74.5,69,5.51,8.63,9.17,4.97,14.14,2007
34,Marquette,Big East,24,10,71.9,64.9,6.94,6.95,8.04,6.11,14.14,2007
35,Syracuse,Big East,24,11,75.6,68,7.57,6.47,10.64,3.4,14.04,2007
36,Missouri State,MVC,22,11,73.9,65.2,8.76,5.93,9.51,4.45,13.96,2007
37,Southern California,Pac-10,25,12,71.8,65.2,6.57,7.87,7.22,6.56,13.78,2007
38,Arkansas,SEC (West),21,14,71.1,66,5.03,8.75,5.51,8.26,13.77,2007
39,Boston College,ACC,21,12,74.3,69.8,4.55,9.21,8.76,5,13.76,2007
40,Southern Illinois,MVC,29,7,62.9,56.2,6.75,7.53,-1.52,15.11,13.59,2007
41,Georgia,SEC (East),19,14,75.1,69.1,6,8.38,8.28,5.19,13.47,2007
