Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,North Carolina,ACC,33,4,88,70.3,17.76,10.66,23.52,4.9,28.42,2005
2,Illinois,Big Ten,37,2,77,61.1,15.9,8.48,12.23,11.88,24.11,2005
3,Duke,ACC,27,6,78.2,65.2,12.97,10.05,13,10.02,23.01,2005
4,Louisville,CUSA,33,5,80.7,64.1,16.58,6.17,13.82,8.74,22.56,2005
5,Oklahoma State,Big 12,26,7,78.3,65.2,13.09,9.67,13.69,7.71,21.39,2005
6,Kansas,Big 12,23,7,75,65.2,9.83,10.85,12.24,8.44,20.68,2005
7,Michigan State,Big Ten,26,7,78.5,65.4,13.06,7.41,13.85,6.63,20.47,2005
8,Wake Forest,ACC,27,6,84.9,74,10.91,10.27,20.23,0.01,20.24,2005
9,Florida,SEC (East),24,8,76.2,63.1,13.06,7.13,10.39,9.8,20.19,2005
10,Oklahoma,Big 12,25,8,75.2,63.3,11.88,8.84,9.43,10.54,19.96,2005
11,Washington,Pac-10,29,6,86.5,74.2,12.29,7.65,20.97,-1.21,19.76,2005
12,Kentucky,SEC (East),28,6,73.6,62.6,11.06,8.1,9.01,10.15,19.16,2005
13,Villanova,Big East,24,8,73,62.4,10.63,8.43,9.72,9.34,19.06,2005
14,Connecticut,Big East,23,8,78,66.8,11.19,7.62,13.23,5.58,18.81,2005
15,Arizona,Pac-10,30,7,79.7,69.7,9.97,8.02,13.78,4.22,18,2005
16,Cincinnati,CUSA,25,8,75.9,64.5,11.36,6.74,10.04,7.6,17.64,2005
17,Georgia Tech,ACC,20,12,74.1,66.7,7.44,9.77,9.41,7.8,17.21,2005
18,Wisconsin,Big Ten,25,9,67.4,60.2,7.15,9.61,3.7,13.06,16.76,2005
19,Alabama,SEC (West),24,8,75.8,65.1,10.72,6.81,9.53,7.22,16.75,2005
20,Texas Tech,Big 12,22,11,76.8,69.3,7.52,9.11,11.27,4.97,16.23,2005
21,NC State,ACC,21,14,73.1,66.1,7,9.15,6.86,9.29,16.15,2005
22,Syracuse,Big East,27,7,74.9,64.6,10.32,6.83,9.18,6.77,15.95,2005
23,Texas,Big 12,20,11,76.9,68.5,8.39,7.56,10.89,4.6,15.49,2005
24,Iowa,Big Ten,21,12,72.9,67.3,5.64,9.34,10.21,4.77,14.98,2005
25,Pittsburgh,Big East,20,9,72.3,63.5,8.79,5.73,6.84,7.69,14.53,2005
26,Boston College,Big East,25,5,72.5,64.5,7.97,6.42,7.49,6.9,14.38,2005
27,Utah,MWC,29,6,68,57.3,10.69,4.53,-1.28,15.28,14,2005
28,Maryland,ACC,19,13,81.9,76,5.88,7.88,15.71,-1.95,13.76,2005
29,Vanderbilt,SEC (East),20,14,71.2,64.9,6.24,7.34,6.17,7.41,13.57,2005
30,Gonzaga,WCC,26,5,79.2,69.6,9.52,4.36,12.53,0.76,13.29,2005
31,Ohio State,Big Ten,20,12,71,64.1,6.94,6.21,6.24,6.91,13.15,2005
32,Texas A&M,Big 12,21,10,73.6,63.5,10.06,5.18,6.66,6.49,13.15,2005
33,Utah State,Big West,24,8,72.3,57.8,14.59,-1.48,3.5,9.25,12.75,2005
34,Mississippi State,SEC (West),23,11,72.5,66,6.5,6.05,6.94,5.61,12.55,2005
35,Arkansas,SEC (West),18,12,71.6,62.8,8.73,3.6,4.31,8.03,12.34,2005
36,Minnesota,Big Ten,21,11,68,62.9,5.09,7,4.04,8.06,12.1,2005
37,South Carolina,SEC (East),20,13,68.6,64.6,3.97,7.85,4.43,7.39,11.82,2005
38,West Virginia,Big East,24,11,71.5,67.3,4.14,7.62,5.77,6,11.76,2005
39,Louisiana State,SEC (West),20,10,75.2,71.4,3.83,7.77,10.39,1.21,11.6,2005
40,Southern Illinois,MVC,27,8,67.6,60.7,6.91,5.13,1.11,10.43,11.54,2005
41,Iowa State,Big 12,19,12,68.1,64.7,3.45,8.4,3.14,8.23,11.37,2005
42,Memphis,CUSA,22,16,71.4,65.5,5.89,5.4,4.84,6.45,11.29,2005
43,Clemson,ACC,16,16,71.7,69.3,2.38,8.85,6.27,4.96,11.23,2005
44,New Mexico,MWC,26,7,75.5,64.3,11.24,1.5,6.36,4.72,11.08,2005
