Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Kentucky,SEC,38,1,74.4,54.3,20.05,8.67,11.55,17.18,28.72,2015
2,Duke,ACC,35,4,79.3,64.2,15.1,9.87,17.28,7.69,24.97,2015
3,Wisconsin,Big Ten,36,4,72.5,58.2,14.33,10.29,10.53,14.08,24.61,2015
4,Arizona,Pac-12,34,4,76.6,59.7,16.92,7.41,13.24,11.09,24.33,2015
5,Villanova,Big East,33,3,76.5,60.9,15.58,7.55,12.87,10.26,23.13,2015
6,Virginia,ACC,30,4,65.4,51.5,13.91,7.81,2.12,19.6,21.73,2015
7,Gonzaga,WCC,35,3,78.7,61.7,17,5.12,13.08,8.04,21.12,2015
8,Utah,Pac-12,26,9,71.3,57.1,14.2,7.42,6.09,14.89,20.98,2015
9,North Carolina,ACC,26,12,77.7,68.8,8.87,11.76,17.1,3.54,20.63,2015
10,Ohio State,Big Ten,24,11,75.3,63,12.31,7.37,11.93,7.76,19.68,2015
11,Notre Dame,ACC,32,6,78,65.8,12.21,7.02,14.99,4.24,19.23,2015
12,Oklahoma,Big 12,24,11,71.5,62.7,8.71,9.94,9.42,9.23,18.65,2015
13,Kansas,Big 12,27,9,71.1,64.8,6.33,12.13,11.13,7.34,18.47,2015
14,Louisville,ACC,27,9,69,59.8,9.14,8.98,6.4,11.73,18.12,2015
15,Iowa State,Big 12,25,9,77.8,69,8.79,9.15,15.84,2.1,17.94,2015
16,Baylor,Big 12,24,10,69.1,60.2,8.85,9.33,6.46,11.39,17.85,2015
17,Michigan State,Big Ten,27,12,71.1,63.6,7.46,10,9.54,7.92,17.46,2015
18,Butler,Big East,23,11,69,61,8.03,8.62,5.06,11.58,16.64,2015
19,Texas,Big 12,20,14,67.4,60.3,7.09,9.07,5.33,10.83,16.16,2015
20,Iowa,Big Ten,22,12,69.8,62.3,7.44,8.39,7.02,8.81,15.83,2015
21,Wichita State,MVC,30,5,70.3,57.4,12.91,3.68,5.57,9.99,15.56,2015
22,Georgetown,Big East,22,11,70.9,65.2,5.67,9.81,8.11,7.37,15.48,2015
23,Xavier,Big East,23,14,73.3,67.4,5.95,9.48,11.02,4.4,15.42,2015
24,West Virginia,Big 12,25,10,72.6,66.8,5.83,9.29,10.53,4.59,15.12,2015
25,NC State,ACC,22,14,70.1,65.8,4.39,9.72,8.3,5.8,14.11,2015
26,Arkansas,SEC,27,9,77.4,70.1,7.28,6.79,13.97,0.1,14.07,2015
27,Providence,Big East,22,12,69.7,65.5,4.21,9.5,7.44,6.27,13.71,2015
28,Brigham Young,WCC,25,10,83.7,73.2,10.57,5.02,18.11,-4.57,13.53,2015
29,Maryland,Big Ten,28,7,69.1,63.4,5.69,7.63,5.42,7.9,13.32,2015
30,Florida,SEC,16,17,63.7,60.1,3.61,9.67,1.31,11.96,13.27,2015
31,Oklahoma State,Big 12,18,14,67.5,62.8,4.66,9.63,5.43,7.52,12.95,2015
32,Indiana,Big Ten,20,14,77.4,71.7,5.74,7.2,14.4,-1.47,12.94,2015
33,Southern Methodist,AAC,27,7,69.1,59.8,9.35,3.57,4.59,8.35,12.94,2015
34,Purdue,Big Ten,21,13,69.9,64.6,5.29,7.64,6.22,6.71,12.93,2015
35,Virginia Commonwealth,A-10,26,10,72.5,65.8,6.69,6.1,9.1,3.69,12.79,2015
36,Northern Iowa,MVC,31,4,65.2,54.6,10.54,2,0.88,11.66,12.54,2015
37,Georgia,SEC,21,12,68.2,64.4,3.82,8.6,5.49,6.93,12.42,2015
38,Illinois,Big Ten,19,14,69.1,63.6,5.48,6.93,6.1,6.32,12.42,2015
39,Minnesota,Big Ten,18,15,74.2,67.7,6.55,7.21,10.46,1.88,12.34,2015
40,Stanford,Pac-12,24,13,72.3,67.3,5,7.33,8.6,3.73,12.33,2015
41,UCLA,Pac-12,22,14,71.9,68.1,3.81,8.27,8.94,3.14,12.07,2015
42,Miami (FL),ACC,25,13,68.2,63.3,4.95,7.05,5.33,6.67,12,2015
43,Davidson,A-10,24,8,79,69.4,9.63,3.19,13.12,-1.16,11.97,2015
44,Syracuse,ACC,18,13,67.6,63.4,4.23,7.68,4.6,7.31,11.91,2015
45,Vanderbilt,SEC,21,14,70.6,64.3,6.29,6.22,7.49,4.4,11.89,2015
46,St. John's (NY),Big East,21,12,71,67.9,3.12,9.04,7.19,4.66,11.85,2015
47,San Diego State,MWC,27,9,61.8,53.9,7.97,4.24,-2.5,14.31,11.81,2015
48,Oregon,Pac-12,26,10,75.4,70.8,4.53,7.65,10.74,0.68,11.43,2015
49,Louisiana State,SEC,22,11,73.4,67.7,5.76,5.63,10.21,1.18,11.39,2015
50,Mississippi,SEC,21,13,72.8,68.4,4.38,7.01,9.33,2.07,11.39,2015
51,TCU,Big 12,18,15,68.2,62.4,5.79,5.32,3.86,7.24,11.1,2015
52,Dayton,A-10,27,9,67.8,60.8,6.92,4.06,2.88,8.1,10.98,2015
53,Texas A&M,SEC,21,12,67.8,62.9,4.82,5.91,3.69,7.04,10.73,2015
54,Cincinnati,AAC,23,11,62.1,55.8,6.32,4.4,-1.19,11.91,10.72,2015
55,South Carolina,SEC,17,16,65,62,3.03,8.24,1.73,8.82,10.55,2015
56,Alabama,SEC,19,15,67.1,64.1,2.94,8.09,4.02,6.5,10.52,2015
57,Boise State,MWC,25,9,70.3,60.1,10.15,1.38,4.57,5.44,10.01,2015
58,Michigan,Big Ten,16,16,64.7,64,0.72,9.59,1.29,8.27,9.56,2015
59,Arizona State,Pac-12,18,16,69.4,66.6,2.85,6.66,6.69,2.83,9.52,2015
60,Rhode Island,A-10,23,10,67.6,60.2,7.45,2.87,1.51,7.8,9.31,2015
61,Saint Mary's (CA),WCC,21,10,69.1,64,5.06,3.78,3.88,4.8,8.68,2015
62,Richmond,A-10,21,14,66.1,61.2,4.89,3.77,1.02,7.64,8.65,2015
