Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Duke,ACC,31,4,88.9,69.2,19.74,9.16,21.3,7.6,28.91,2002
2,Cincinnati,CUSA (American),31,4,78.2,60.4,17.8,6.76,11.43,13.16,24.59,2002
3,Kansas,Big 12,33,4,90.9,74.7,16.22,9.36,22.92,1.46,24.38,2002
4,Maryland,ACC,32,4,85,70.9,14.11,9.35,18.19,5.27,23.46,2002
5,Florida,SEC (East),22,9,80.5,66.6,13.9,8.37,13.8,8.48,22.27,2002
6,Oklahoma,Big 12,31,5,78,64.6,13.33,7.69,9.43,11.59,21.02,2002
7,Oregon,Pac-10,26,9,85.5,72.5,13.03,6.94,17.05,2.62,19.67,2002
8,Illinois,Big Ten,26,9,77.4,67.7,9.69,9.94,10.91,8.3,19.2,2002
9,Indiana,Big Ten,25,12,70.5,62.6,7.86,12.08,5.53,13.66,19.19,2002
10,Kentucky,SEC (East),22,10,76.9,68.2,8.66,11.99,9.73,9.43,19.15,2002
11,Marquette,CUSA (American),26,7,73.1,60.7,12.39,4.78,4.38,12.79,17.17,2002
12,Stanford,Pac-10,20,10,80.7,72.7,8,9.03,12.66,4.37,17.03,2002
13,Alabama,SEC (West),27,8,75.9,66.7,9.26,7.67,9.52,7.41,16.93,2002
14,Arizona,Pac-10,24,10,82.1,77.7,4.44,12.47,15.87,1.04,16.91,2002
15,Southern California,Pac-10,22,10,77.9,69.8,8.19,8.31,9.9,6.59,16.49,2002
16,South Carolina,SEC (East),22,15,68.3,61.6,6.7,9.79,1.15,15.16,16.32,2002
17,Ohio State,Big Ten,24,8,73.8,64.9,8.88,7.26,8.6,7.54,16.14,2002
18,NC State,ACC,23,11,75.4,67.8,7.68,8.16,6.87,8.96,15.83,2002
19,Notre Dame,Big East (West),22,11,78.8,68.4,10.45,6.14,11.07,4.61,15.67,2002
20,Connecticut,Big East (East),27,7,77.8,69.2,8.59,7.59,8.82,6.57,15.38,2002
21,Memphis,CUSA (National),27,9,80,68.8,11.17,4.72,11.43,3.86,15.29,2002
22,Wake Forest,ACC,21,13,82,77.1,4.97,10.28,14.28,0.98,15.25,2002
23,Michigan State,Big Ten,19,12,69.4,63.8,5.55,9.61,3.12,11.79,14.91,2002
24,Texas Tech,Big 12,23,9,79.1,71.6,7.5,7.22,10.66,4.06,14.72,2002
25,Georgia,SEC (East),22,10,76.4,71,5.41,9.24,10.39,4.29,14.68,2002
26,Pittsburgh,Big East (West),29,6,72.3,60.9,11.34,4.53,3.25,11.43,14.68,2002
27,Mississippi State,SEC (West),27,8,73.8,66.7,7.09,7.34,7.38,7.04,14.43,2002
28,Oklahoma State,Big 12,23,9,71.7,64.1,7.59,6.81,2.62,11.78,14.4,2002
29,Texas,Big 12,22,12,78.1,73.2,4.94,9.98,11.33,2.98,14.32,2002
30,Missouri,Big 12,24,12,79.9,72.5,7.42,6.8,11.56,2.66,14.22,2002
31,Xavier,A-10 (West),26,6,72.4,62.6,9.81,4.1,4.59,9.32,13.91,2002
32,Gonzaga,WCC,29,4,81.1,66.6,14.55,0.75,8.89,5.01,13.9,2002
33,Kent State,MAC (East),30,6,75.9,64,11.86,2.1,5.71,7.97,13.67,2002
34,Charlotte,CUSA (American),18,12,73.5,68.6,4.93,8.69,7.56,6.06,13.62,2002
35,Mississippi,SEC (West),20,11,72,64.3,7.71,6.86,4.5,9.11,13.62,2002
36,Virginia,ACC,17,12,79.6,74.3,5.31,7.93,9.98,3.26,13.24,2002
37,Georgetown,Big East (West),19,11,81.1,70.4,10.7,4.2,10.97,2.2,13.16,2002
38,UCLA,Pac-10,21,12,75,72.7,2.36,10.78,8.5,4.65,13.14,2002
39,California,Pac-10,23,9,72.2,66.6,5.63,7.45,4.3,8.79,13.08,2002
40,Miami (FL),Big East (East),24,8,74.8,67.4,7.47,5.53,7.14,5.86,13,2002
41,Minnesota,Big Ten,18,13,75.2,69.4,5.77,7.05,9.19,3.64,12.83,2002
42,Dayton,A-10 (West),21,11,73.1,63.8,9.34,3.39,5.54,7.2,12.74,2002
43,Tulsa,WAC,27,7,80.2,69.5,10.68,2.3,10.81,1.85,12.67,2002
44,Iowa,Big Ten,19,16,72.6,68.1,4.49,7.91,7.24,5.15,12.39,2002
45,Arkansas,SEC (West),14,15,74.9,72.7,2.17,10.14,9.41,2.87,12.27,2002
46,Louisville,CUSA (American),19,13,76,71.6,4.34,7.36,8.95,2.75,11.7,2002
47,Syracuse,Big East (West),23,13,72.3,66.8,5.53,5.92,5.03,6.41,11.44,2002
48,Tennessee,SEC (East),15,16,71.7,70.8,0.9,10.93,6.31,4.89,11.2,2002
49,Butler,Horizon,26,6,70.3,57.8,12.56,-0.38,0.11,11.04,11.15,2002
50,Villanova,Big East (East),19,13,70.8,66.3,4.53,6.17,2.94,7.76,10.7,2002
51,Utah,MWC,21,9,67.3,61.3,5.97,5.19,-0.69,11.37,10.69,2002
52,Temple,A-10 (East),19,15,70.1,67.1,2.97,7.6,2.49,8.09,10.57,2002
53,Western Kentucky,Sun Belt (East),28,4,77.8,64.7,13.19,-0.27,5.75,4.71,10.46,2002
54,Louisiana State,SEC (West),19,15,68.4,64,4.35,5.82,0.4,9.84,10.24,2002
55,Wisconsin,Big Ten,19,13,67,65.7,1.34,9.23,1.16,8.94,10.1,2002
56,Hawaii,WAC,27,6,71.7,63.1,8.67,1.15,1.21,8.61,9.82,2002
57,Arizona State,Pac-10,14,15,76.9,73.9,3,6.79,8.65,1.14,9.79,2002
58,Southern Illinois,MVC,28,8,75.5,67.4,8.11,1.66,6.37,3.41,9.77,2002
59,Valparaiso,Mid-Cont,25,8,77.7,66.1,11.64,-1.24,5.38,4.01,9.39,2002
60,Brigham Young,MWC,18,12,70.5,65,5.47,5.35,1.92,7.43,9.35,2002
61,Boston College,Big East (East),20,12,73.6,70.5,3.03,5.92,6.91,2.04,8.96,2002
62,Ball State,MAC (West),23,12,78,71.9,6.11,3.3,7.91,0.97,8.88,2002
63,Wyoming,MWC,22,9,75,68.7,6.29,2.72,6.38,2.24,8.62,2002
64,Pepperdine,WCC,22,9,81.3,74.8,6.45,3.36,11.12,-2.52,8.59,2002
65,Georgia Tech,ACC,15,16,76.5,76.6,-0.19,8.66,8.69,-0.22,8.47,2002
66,Creighton,MVC,23,9,75.7,68.7,7,1.39,5.37,3.02,8.39,2002
67,Purdue,Big Ten,13,18,71.1,71.5,-0.32,8.58,5.85,2.41,8.26,2002
68,Pennsylvania,Ivy,25,7,73.2,63.7,9.47,-1.51,3.31,4.65,7.96,2002
69,South Florida,CUSA (National),19,13,77.1,74.2,2.91,4.96,7.79,0.08,7.87,2002
